Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Naps,La kiffance,spotify:track:1bwhDrXcAtqePp8mNJ0pTe,260,0.228,0.805,0.637,0,6,0.071,-6.515,1,0.0869,140.045,0.678
"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",Bande organisée,spotify:track:2JNJSm3CjesTWLOcJm4Kiz,260,0.117,0.901,0.939,0,6,0.0643,-2.762,1,0.274,142.948,0.805
Ninho,La vie qu'on mène,spotify:track:0Jh6iWjna1wk5le0Ahn7No,260,0.687,0.8,0.756,2.06e-06,7,0.111,-4.4,0,0.0367,113.204,0.456
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,260,0.00146,0.514,0.73,9.54e-05,1,0.0897,-5.934,1,0.0598,171.005,0.334
Damso,Θ. Macarena,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,258,0.182,0.777,0.554,1.7e-06,2,0.0477,-8.179,1,0.0572,129.933,0.27
Lomepal,Trop beau,spotify:track:4WB9OeauHXnGOMUK4s80gM,258,0.295,0.748,0.66,5.56e-06,4,0.0883,-6.034,0,0.0404,123.902,0.324
Ninho,Lettre à une femme,spotify:track:5HEtuK03ygUzqca6yfgOYZ,246,0.835,0.487,0.398,0,1,0.12,-9.901,0,0.0697,149.367,0.905
OBOY,Avec Toi,spotify:track:656vbT8JKkVx7g1yG12L89,230,0.457,0.661,0.666,0,10,0.13,-5.932,0,0.0277,92.475,0.381
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,228,0.717,0.442,0.538,2.95e-05,4,0.09,-8.55,0,0.0451,122.758,0.139
PNL,Onizuka,spotify:track:4GCIYE1x1TWJCChPkpy9by,220,0.392,0.688,0.569,0.000175,10,0.12,-7.007,0,0.0375,109.041,0.359
OBOY,TDB,spotify:track:5YoDQgB4j7oBHWXH3DcwFD,216,0.0474,0.882,0.675,0.000598,3,0.124,-6.004,1,0.141,140.092,0.758
Louise Attaque,J't'emmène au vent,spotify:track:0Wr98MVkENZXddiLB3bPb0,204,0.252,0.567,0.771,0,6,0.101,-5.577,1,0.0365,137.014,0.596
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),spotify:track:22skzmqfdWrjJylampe0kt,204,0.0267,0.633,0.927,0,2,0.0986,-4.468,1,0.0839,146.097,0.88
Djadja & Dinaz,Dans le Réseau,spotify:track:0X5zETsfr8nGAVABRcD4o4,200,0.644,0.866,0.628,2.48e-06,6,0.107,-5.575,0,0.0536,125.991,0.731
Josman,Intro,spotify:track:6qvyN6NTUpdfOJRYjtSSd7,200,0.324,0.755,0.636,0,8,0.0717,-6.529,0,0.281,144.953,0.523
"Naps, GIMS",Best life,spotify:track:46vfSYsDJZaNQcD4YvT8GD,198,0.258,0.919,0.779,0,7,0.0991,-4.739,0,0.147,138.038,0.941
"PLK, OBOY",Attentat,spotify:track:5ioieZofgvXQK70RFhVohl,196,0.192,0.844,0.656,1.82e-05,7,0.115,-5.935,0,0.216,99.983,0.398
Damso,Σ. MOROSE,spotify:track:0fukO3WYYUHaXOrvEohpEG,194,0.37,0.721,0.588,0.00208,4,0.1,-7.801,0,0.0501,150.031,0.276
Ninho,Jefe,spotify:track:6HTJgY7iWWlVLSDHsfHePf,192,0.474,0.648,0.599,6.81e-06,7,0.121,-8.611,0,0.0799,120.985,0.213
Gazo,HAINE&SEX,spotify:track:6Vcxzw4ifKqYxVrp3ckpVF,190,0.422,0.774,0.583,1.55e-05,0,0.145,-8.649,1,0.169,148.018,0.323
