Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,249.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Amr Diab,Tamally Maak,spotify:track:6TYFcqqQVQPb3YsgfRhvqs,235.0,0.121,0.623,0.781,2.77e-05,8.0,0.101,-9.651,1.0,0.0373,167.874,0.346,2000-01-01
"Cairokee, Umm Kulthum",Kan Lak Ma'aya,spotify:track:6Ggt0UQU8wbV9cq0PjzDgx,221.0,0.482,0.5,0.504,6.06e-06,1.0,0.123,-6.995,0.0,0.0593,79.832,0.398,2019-03-21
Marwan Moussa,البوصلة ضاعت,spotify:track:3OFejsaM3NDkclJg3rjWI2,208.0,0.666,0.753,0.504,1.88e-05,7.0,0.121,-10.196,0.0,0.132,107.064,0.299,2019-08-23
Wegz,سكرتي,spotify:track:2FntmtxOqyNgZkxaZchEn0,206.0,0.647,0.769,0.503,0.000315,2.0,0.115,-10.117,0.0,0.348,140.094,0.371,2019-06-28
Wegz,كان نفسي,spotify:track:7e2Fzu33SbX4ECAB1Y1QDI,198.0,0.856,0.731,0.294,0.000248,1.0,0.0817,-14.589,1.0,0.148,144.053,0.486,2019-10-23
Marwan Pablo,Sindbad,spotify:track:5xDaIms5HB1DTj5keH6sJc,196.0,0.105,0.751,0.774,4.98e-05,3.0,0.292,-7.633,0.0,0.142,134.998,0.603,2019-02-05
Wegz,اللقطة,spotify:track:4Ht0DV8ksHsEwyPEKLjcMV,190.0,0.576,0.775,0.765,5.42e-06,7.0,0.136,-4.953,1.0,0.121,100.025,0.472,2019-08-25
Wegz,دورك جي,spotify:track:09GZRZP0txDanDf3s1Ap7K,186.0,0.33,0.85,0.728,0.0,2.0,0.0692,-5.535,1.0,0.209,104.983,0.309,2019-09-29
Wegz,ساليني,spotify:track:5HKS61lkZs3853MkbDO9yn,182.0,0.741,0.641,0.402,0.0,11.0,0.136,-11.082,0.0,0.331,90.148,0.225,2018-10-06
"Molotof, Marwan Pablo",Denamet,spotify:track:5arfoRuIEliMiCRZt7CFkA,180.0,0.282,0.661,0.576,3.29e-06,5.0,0.086,-9.367,1.0,0.309,140.111,0.436,2020-04-03
"Marwan Pablo, Molotof",Free,spotify:track:6vRHVF61iN8TnMdoFBoE8f,180.0,0.125,0.423,0.849,0.0,1.0,0.111,-3.782,1.0,0.143,116.956,0.312,2019-11-01
