Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
ElGrandeToto,7elmetado 2,spotify:track:5N8htWcwGU84nFmGvyKLdw,179.0,0.612,0.707,0.594,2.51e-06,7.0,0.171,-5.913,1.0,0.224,82.001,0.361,2018-01-08
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,178.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Anys, Stormy",Si tu savais,spotify:track:2XoeD3lix5eVNEa40ZFtHW,164.0,0.471,0.701,0.806,0.0,7.0,0.359,-6.107,1.0,0.037,140.961,0.713,2020-05-17
"CKay, ElGrandeToto",love nwantiti (feat. ElGrande Toto) - North African Remix,spotify:track:1EYeZGTMCjV7uVey5fNWXM,163.0,0.58,0.642,0.723,0.000942,1.0,0.112,-6.149,1.0,0.243,186.043,0.487,2020-08-21
Inkonnu,Zahri,spotify:track:7tbdg8jBXvkdqo1LiuKZ2l,161.0,0.674,0.469,0.49,0.0,9.0,0.0911,-10.724,0.0,0.207,84.562,0.349,2021-01-20
ElGrandeToto,Pablo,spotify:track:6myPGcRsuSC2k7llCkRdad,159.0,0.706,0.727,0.557,0.0,0.0,0.143,-5.845,0.0,0.394,148.102,0.291,2017-09-25
Snor,Lalala,spotify:track:1diDQ6oxUeaMWzGxeITGmF,152.0,0.272,0.718,0.608,0.000138,4.0,0.205,-8.344,0.0,0.0787,115.139,0.653,2020-07-18
kouz1,Trap Roumi V2,spotify:track:1UCuu9ouBrppesU3JXe8b9,145.0,0.396,0.756,0.42,0.0536,10.0,0.123,-10.376,1.0,0.0578,99.953,0.451,2020-12-28
ElGrandeToto,Mghayer,spotify:track:5QhnCB5kD34sYkvHviU0yz,143.0,0.29,0.598,0.687,1.21e-05,2.0,0.154,-7.628,0.0,0.0362,83.475,0.425,2021-03-05
Inkonnu,7ali Ya 7ali,spotify:track:0e7rIlMjTs8DsDxrWb5cGo,140.0,0.451,0.792,0.575,1.08e-06,11.0,0.104,-10.858,0.0,0.235,126.059,0.462,2021-01-20
"kouz1, Tagne",J'en ai marre !,spotify:track:39jtccUn5BcqpMbjzqFRlj,136.0,0.447,0.655,0.745,0.0,9.0,0.0904,-3.716,0.0,0.0368,101.979,0.275,2021-02-05
Tagne,Nadi Canadi,spotify:track:14WP9aPMpre8L1u0RcRO5Q,134.0,0.772,0.617,0.557,0.0,5.0,0.0775,-9.162,0.0,0.199,174.09,0.654,2021-03-15
Cheb Hasni,Sbaart Ou Tal Adabi,spotify:track:7HhieX1dqISjpteFs5w7Xb,133.0,0.144,0.742,0.531,0.000599,6.0,0.0352,-12.239,1.0,0.061,89.454,0.885,2008-02-19
Inkonnu,YA Lili,spotify:track:12NyGvp4yFJys8L5XHo7FD,132.0,0.832,0.729,0.52,0.0,0.0,0.0863,-8.409,0.0,0.0653,98.008,0.303,2020-01-28
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,129.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
"Tagne, Stormy, Khtek",Fratello,spotify:track:1IWAluPVHxuHGmL5NyYyGf,127.0,0.411,0.458,0.7,0.0,2.0,0.221,-5.838,0.0,0.138,149.911,0.289,2020-10-30
Inkonnu,KNZ,spotify:track:3YqEI4fpQFI8cYZiZzOyFj,125.0,0.182,0.457,0.683,2.36e-05,7.0,0.296,-10.546,1.0,0.58,184.005,0.354,2020-02-05
"Tagne, Draganov",KIKI,spotify:track:3n58EssjWguXRIQucF12cZ,123.0,0.466,0.612,0.491,0.0,6.0,0.124,-8.933,0.0,0.319,96.746,0.568,2020-10-30
ElGrandeToto,Haram (Pablo II),spotify:track:1h7zX37KNW2NbL2EeyplVo,122.0,0.418,0.422,0.737,0.0,6.0,0.167,-5.991,0.0,0.366,74.976,0.372,2021-06-04
"Stormy, Inkonnu",Mizane,spotify:track:5xQjkh8HwTSGAeQErejyhQ,122.0,0.497,0.776,0.611,0.0,4.0,0.135,-5.782,0.0,0.0343,121.973,0.695,2021-02-05
Snor,Dawk Lya,spotify:track:5OInx13SpghEifbS5bQmwq,121.0,0.443,0.609,0.399,0.0633,0.0,0.0783,-11.177,0.0,0.0362,149.946,0.36,2021-01-21
ElGrandeToto,VitamineDZ,spotify:track:52X7AoBCW2cOweH2wDF2V7,121.0,0.0156,0.623,0.613,0.0,10.0,0.888,-10.332,0.0,0.0933,98.391,0.382,2020-02-24
Travis Scott,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,120.0,0.00513,0.834,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,0.446,2018-08-03
Snor,HKAYA,spotify:track:4pDkVdsJffy3QFvpnmNyVn,116.0,0.479,0.704,0.331,0.000146,8.0,0.124,-17.977,1.0,0.0497,97.979,0.288,2021-07-14
Dizzy DROS,Nota,spotify:track:5tPauDRDmFoM8GMEGRQPnt,114.0,0.455,0.632,0.512,0.000219,2.0,0.176,-10.709,0.0,0.0238,97.486,0.172,2020-11-11
"Inkonnu, Nouvo",Moral,spotify:track:2yGcGAhdIGiObLOnmsAoFT,112.0,0.509,0.727,0.496,0.0,2.0,0.178,-11.761,1.0,0.1,104.008,0.418,2021-01-20
ElGrandeToto,7elmetAdo3,spotify:track:2KV1CtodwxT7h8K98dXNnk,111.0,0.282,0.599,0.642,0.0,10.0,0.0912,-6.725,0.0,0.317,86.325,0.33,2018-12-27
"Mister You, Balti",Maghrebins,spotify:track:4U5h7GaXXXNOLpuo5vr3dU,111.0,0.368,0.557,0.88,0.0,7.0,0.205,-4.704,0.0,0.342,77.993,0.64,2019-07-05
"ElGrandeToto, Hamza",Obscurité (feat. Hamza),spotify:track:2FkCxMgyjqvKwV0wqKb3vF,109.0,0.371,0.747,0.543,2.13e-06,5.0,0.229,-8.346,0.0,0.0434,75.003,0.624,2021-03-05
Zouhair Bahaoui,Décapotable,spotify:track:2F82KnRqMRq0zDi4uBVSlm,107.0,0.0746,0.892,0.666,0.0,11.0,0.098,-7.452,0.0,0.0745,97.965,0.776,2018-08-08
"Snor, Tagne, Stormy",Nasa,spotify:track:2OZVq7Q1zcI1RDhy5ORf4m,107.0,0.473,0.662,0.417,0.00964,6.0,0.111,-13.389,0.0,0.09,140.013,0.381,2020-09-22
Snor,De9a De9a,spotify:track:73jpPysVoCCErgJk4g91R4,107.0,0.0438,0.639,0.664,0.00121,3.0,0.128,-6.735,0.0,0.0424,149.957,0.483,2020-01-31
"Saad Lamjarred, Zouhair Bahaoui",Lewjah Tani,spotify:track:2YwzYRcRIJLMPq4TBTBQgd,107.0,0.171,0.64,0.717,0.0,7.0,0.349,-6.04,1.0,0.107,92.529,0.823,2021-01-01
ElGrandeToto,Hors Série,spotify:track:3qLbEQPE0mktP3s6JHn5oM,107.0,0.562,0.85,0.565,1.14e-05,10.0,0.126,-9.091,0.0,0.391,160.042,0.741,2020-01-13
7ari,L'baida mon amour,spotify:track:7JEGjfo68GP0Ro2oY6j4QX,106.0,0.148,0.757,0.779,0.000322,8.0,0.0782,-5.901,0.0,0.0533,109.989,0.464,2023-01-06
"Draganov, Inkonnu",Lbaroud,spotify:track:1ummIm7Y59PnBJ39Q7oMox,105.0,0.222,0.759,0.44,0.0,11.0,0.0859,-11.192,0.0,0.193,167.825,0.175,2022-04-29
ElGrandeToto,Santa Fe,spotify:track:07gqbz5UFQhWtCfT31zGyo,105.0,0.587,0.626,0.716,0.0,5.0,0.0626,-5.212,1.0,0.0555,167.9,0.601,2021-03-05
"Maestro, ElGrandeToto",La Rue,spotify:track:2YejzaxPdLETsrwAerrB49,104.0,0.754,0.474,0.621,3.6e-05,9.0,0.118,-8.82,0.0,0.0389,83.691,0.414,2021-01-10
"Madd, Qaayel",Pay No Mind,spotify:track:0pi2GFDC2vil6vNBnrAfIs,104.0,0.0636,0.671,0.678,1.53e-06,9.0,0.0998,-6.707,0.0,0.0421,144.947,0.413,2020-02-07
The Weeknd,Save Your Tears,spotify:track:5QO79kh1waicV47BqGRL3g,103.0,0.0212,0.68,0.826,1.24e-05,0.0,0.543,-5.487,1.0,0.0309,118.051,0.644,2020-03-20
ElGrandeToto,ALOHA!,spotify:track:22YGEzwGJwqoFKJ0URX1cl,103.0,0.282,0.658,0.676,0.000106,11.0,0.0457,-7.735,1.0,0.282,95.835,0.711,2021-03-05
Draganov,Sac,spotify:track:0RbAGNP1qpC3UcqDyhRmR4,101.0,0.588,0.583,0.421,2.1e-05,1.0,0.103,-12.987,0.0,0.146,199.797,0.777,2022-04-29
kouz1,TKT,spotify:track:2ET8K5jJLaCCRn7M6u2ExO,100.0,0.314,0.496,0.523,3.1e-05,1.0,0.108,-9.072,1.0,0.249,90.911,0.634,2020-07-24
Travis Scott,HIGHEST IN THE ROOM,spotify:track:3eekarcy7kvN4yt5ZFzltW,99.0,0.0546,0.598,0.427,5.83e-06,7.0,0.21,-8.764,0.0,0.0317,76.469,0.0605,2019-10-04
Smallx,B&M,spotify:track:5wvxFn82MAGbhGvmpYwbAW,99.0,0.136,0.633,0.552,1.5e-05,10.0,0.114,-10.357,0.0,0.0711,150.075,0.303,2021-02-21
"Raste, Furelise",Ah Bon,spotify:track:0yYoSGrzF15p22ow5wbcSJ,99.0,0.3,0.819,0.491,0.0,6.0,0.266,-9.272,0.0,0.193,114.021,0.579,2021-03-05
ElGrandeToto,Mikasa,spotify:track:6oJ47Df5ScLAlZdgWHUAqX,99.0,0.367,0.749,0.576,0.0,0.0,0.168,-7.956,1.0,0.316,153.978,0.332,2021-03-05
"Lbenj, Mounim Slimani, DJ Med",Amoureux Tombé,spotify:track:3LM6LWSAHNfcYrOdoUdNlg,99.0,0.255,0.839,0.613,0.0,11.0,0.325,-7.75,0.0,0.12,95.948,0.457,2018-09-27
Inkonnu,Arabi,spotify:track:6l9szU9SbBqJKLU3L2QXmi,97.0,0.525,0.785,0.658,0.0,5.0,0.205,-9.193,0.0,0.109,149.939,0.759,2021-01-20
BTS,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,96.0,0.0112,0.746,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,0.737,2020-11-20
