Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Lojay, Sarz, Chris Brown",Monalisa,spotify:track:3baPniPXS0iEII8rDUJdYP,113,0.106,0.828,0.726,0.00101,10.0,0.103,-6.389,0.0,0.0419,113.017,0.67,2022-05-19
"Magixx, Ayra Starr",Love Don't Cost A Dime (Re-Up),spotify:track:0hW02S9ACVYANz1ica10jH,86,0.435,0.703,0.571,0.0,8.0,0.0996,-8.252,1.0,0.276,100.21,0.551,2022-02-09
"Dave, Burna Boy",Location (feat. Burna Boy),spotify:track:3z4CGd63tpUn9a6oQSG0CI,86,0.271,0.812,0.496,0.0,9.0,0.0955,-5.969,0.0,0.297,109.979,0.55,2019-03-08
"Timaya, Bnxn",Cold Outside,spotify:track:2jZ2MrAk8iNZk1dsI0Vr5z,86,0.287,0.737,0.663,0.0508,11.0,0.523,-6.981,0.0,0.101,98.014,0.839,2021-10-14
"Asake, Olamide",Omo Ope (feat. Olamide),spotify:track:7d1aTQlsHMgWmkPywDi7h1,86,0.117,0.905,0.747,0.000364,9.0,0.0505,-6.622,1.0,0.0442,117.008,0.866,2022-01-18
Omah Lay,understand,spotify:track:6oOCGD2Sp9UTcDsuDz8Hdu,86,0.166,0.697,0.653,0.231,0.0,0.0911,-7.284,1.0,0.102,99.982,0.627,2022-07-14
Fave,Baby Riddim,spotify:track:77eZIuMTB9HrQ86L4ljqEX,84,0.454,0.549,0.646,0.0,11.0,0.109,-5.092,1.0,0.0967,126.774,0.76,2021-09-30
"Pheelz, Bnxn",Finesse,spotify:track:45lKz9WsEol7FEV8HhjSjZ,80,0.504,0.861,0.537,0.0,1.0,0.289,-8.199,0.0,0.159,102.014,0.769,2023-02-10
Wande Coal,Again,spotify:track:6qk3jI8bKCgURI3h0d8zBZ,79,0.688,0.654,0.39,0.0,1.0,0.106,-9.858,0.0,0.36,125.944,0.552,2020-09-10
Victony,Kolomental,spotify:track:3kqE7QmylUIJV3QXC6arrR,76,0.294,0.781,0.569,0.0241,10.0,0.113,-6.897,1.0,0.0918,95.049,0.595,2022-05-06
Asake,Terminator,spotify:track:5ycsqezujKrwviU3VFhci1,75,0.171,0.804,0.688,0.00448,0.0,0.0958,-6.794,1.0,0.0531,117.032,0.852,2022-09-07
"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),spotify:track:59nOXPmaKlBfGMDeOVGrIK,75,0.314,0.463,0.642,0.0,1.0,0.0686,-4.474,1.0,0.34,83.389,0.339,2022-04-29
Burna Boy,Last Last,spotify:track:5YbPxJwPfrj7uswNwoF1pJ,73,0.131,0.795,0.565,0.0,3.0,0.0802,-4.457,0.0,0.0948,87.925,0.55,2022-07-07
Kizz Daniel,Pour Me Water,spotify:track:1DrfpnLvbwndPScRLwbUE0,72,0.563,0.7,0.708,0.00522,8.0,0.125,-6.416,1.0,0.378,126.883,0.677,2021-11-18
Asake,Peace Be Unto You (PBUY),spotify:track:6ewsOjbC1jWAZcjAhVxDs0,69,0.101,0.808,0.769,4.12e-05,7.0,0.119,-7.207,0.0,0.0833,116.001,0.685,2022-09-07
T.I BLAZE,Try,spotify:track:5p8e2CxX9frZepKoc8E9Z4,69,0.735,0.589,0.598,0.223,1.0,0.089,-5.658,0.0,0.269,147.548,0.809,2022-02-16
Ruger,Girlfriend,spotify:track:57jUCJelGAISFxuea34lrr,67,0.243,0.788,0.913,0.0689,5.0,0.272,-4.495,0.0,0.0671,99.994,0.672,2022-06-17
Ayra Starr,Rush,spotify:track:1xs8bOvm3IzEYmcLJVOc34,67,0.0369,0.792,0.503,0.00057,1.0,0.0959,-8.044,1.0,0.0626,99.97,0.381,2022-10-21
Rema,Calm Down,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,66,0.365,0.814,0.789,0.000502,11.0,0.137,-6.29,1.0,0.0405,107.003,0.842,2022-03-24
"Joeboy, Bnxn, ODUMODUBLVCK",Normally,spotify:track:4cPKw3rzgmaU4zixJe6wge,66,0.31,0.787,0.378,0.00022,8.0,0.104,-8.74,1.0,0.248,95.013,0.283,2023-05-19
Tems,Damages,spotify:track:3Xfwu3xtPqmJ4nM4jpBm8O,66,0.528,0.712,0.497,2.65e-05,1.0,0.125,-8.106,1.0,0.431,128.385,0.516,2020-09-25
"Fireboy DML, Ed Sheeran",Peru,spotify:track:4hJhHbkhZFnxmWbAkZRoe0,65,0.572,0.956,0.417,0.00071,7.0,0.0782,-7.892,0.0,0.0926,108.015,0.714,2021-12-24
"Burna Boy, Ed Sheeran",For My Hand (feat. Ed Sheeran),spotify:track:0HaRLPnr887lcQM2YQzkff,65,0.161,0.87,0.479,0.000157,9.0,0.209,-7.779,1.0,0.165,104.059,0.717,2022-07-07
"Wizkid, Bnxn",Mood (feat. BNXN),spotify:track:6jdTkoEaer7XNGSblczoSu,65,0.0193,0.897,0.7,0.009,1.0,0.12,-2.776,0.0,0.117,101.944,0.755,2021-08-27
"Adekunle Gold, Davido",High,spotify:track:4G11wDzAKuCFqApL4g3ixC,65,0.11,0.801,0.864,0.00118,6.0,0.0405,-5.441,0.0,0.0386,115.991,0.828,2022-02-04
Burna Boy,It's Plenty,spotify:track:5hVjoL3sHepZROri63wBxP,65,0.36,0.776,0.565,8.81e-05,7.0,0.308,-10.609,1.0,0.105,107.035,0.53,2022-07-07
"Fireboy DML, Asake",Bandana,spotify:track:2qWwuCVeMjF9mUT0S5Iqvl,65,0.293,0.818,0.605,0.0116,1.0,0.0696,-7.121,1.0,0.038,104.931,0.366,2022-08-04
"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),spotify:track:78QR3Wp35dqAhFEc2qAGjE,64,0.0852,0.897,0.662,0.0,1.0,0.534,-6.903,0.0,0.292,112.511,0.389,2018-10-05
Omah Lay,soso,spotify:track:1wADwLSkYhrSmy4vdy6BRn,64,0.424,0.711,0.725,0.129,3.0,0.11,-8.315,0.0,0.0941,105.016,0.53,2022-07-14
Omah Lay,i'm a mess,spotify:track:65v99AWZyNz3aRmfrT2I7N,64,0.307,0.682,0.633,0.0328,4.0,0.112,-6.213,1.0,0.239,123.259,0.601,2022-07-14
"Lil Kesh, Zinoleesky",Don't Call Me (feat. Zinoleesky),spotify:track:2XuLnQELesgnkCGZbSJHO0,63,0.044,0.876,0.834,3.93e-05,5.0,0.0874,-5.768,0.0,0.0454,117.986,0.62,2021-12-02
"JAE5, Dave, Bnxn",Propeller (feat. Dave & BNXN),spotify:track:4A7sSA10D35HQUNrSOl5Zo,63,0.475,0.846,0.508,0.000126,8.0,0.0961,-7.873,1.0,0.308,126.447,0.567,2022-07-28
Fireboy DML,Playboy,spotify:track:2AKS1HhpLu2rgkojECUm3V,62,0.347,0.541,0.667,1.49e-06,2.0,0.0591,-7.821,1.0,0.131,155.117,0.831,2022-08-04
"Wizkid, Tems",Essence (feat. Tems),spotify:track:5FG7Tl93LdH117jEKYl3Cm,62,0.0266,0.849,0.707,8.58e-06,0.0,0.618,-6.002,1.0,0.113,104.027,0.602,2020-10-29
