Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,259,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
James Arthur,Say You Won't Let Go,spotify:track:5uCax9HTNlzGybIStD3vDh,256,0.695,0.358,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,0.494,2016-10-28
Mario,Let Me Love You,spotify:track:7GaFYUqP2WdR4KTPk7cXoP,251,0.178,0.686,0.588,0.0,7.0,0.0954,-8.343,0.0,0.0554,94.519,0.617,2004-03-15
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,247,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
Juice WRLD,Lucid Dreams,spotify:track:285pBltuF7vW8TeWk8hdRR,214,0.349,0.511,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,0.218,2018-12-10
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,214,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
Journey,Don't Stop Believin',spotify:track:4bHsxqR3GMrXTxEPLuK5ue,188,0.127,0.5,0.748,0.0,4.0,0.447,-9.072,1.0,0.0363,118.852,0.514,1981
"Lady Gaga, Bradley Cooper",Shallow,spotify:track:2VxeLyX666F8uXCJ0dZF8B,188,0.371,0.572,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,0.323,2018-10-05
"Daniel Caesar, H.E.R.",Best Part (feat. H.E.R.),spotify:track:1RMJOxR6GRPsBHL8qeC2ux,187,0.808,0.524,0.364,0.0,7.0,0.1,-10.209,1.0,0.0367,75.24,0.436,2017-08-25
"Summer Walker, Drake",Girls Need Love (with Drake) - Remix,spotify:track:14SaZBTjxlorHJQxXh01Hu,182,0.443,0.656,0.432,0.0,6.0,0.132,-9.481,0.0,0.217,97.022,0.0897,2018-10-19
Fantasia,When I See U,spotify:track:4iuNZTcvT9diFySSzVsnVS,178,0.452,0.569,0.596,7.92e-05,8.0,0.205,-6.486,1.0,0.172,93.135,0.754,2006-12-09
Ed Sheeran,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,174,0.163,0.599,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,0.168,2017-03-03
