Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,241.0,0.0622,0.776,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,0.666,2017-06-23
"Akhil, Dhvani Bhanushali, Kunaal Vermaa","Duniyaa (From ""Luka Chuppi"")",spotify:track:2tjWCe2W7sgvS3C8NHcdtI,241.0,0.699,0.435,0.658,0.0,7.0,0.125,-5.949,0.0,0.0368,77.17,0.524,2019-02-22
"Javed-Mohsin, Arijit Singh, Shreya Ghoshal, Kunaal Vermaa, Prashant Ingole",Pal,spotify:track:5G7pZ8G8NFvS1MQ9H4L7dC,239.0,0.71,0.51,0.502,0.0,7.0,0.0708,-7.016,0.0,0.0325,133.885,0.321,2018-09-14
"Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")",spotify:track:2FCXQHugkoHE1K3tiDu8pu,227.0,0.557,0.562,0.519,0.000268,3.0,0.172,-8.744,1.0,0.0326,122.925,0.415,2017-06-07
"Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",spotify:track:2Fv2injs4qAm8mJBGaxVKU,227.0,0.736,0.427,0.396,0.0,11.0,0.11,-7.556,1.0,0.0366,70.368,0.306,2019-05-31
Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",spotify:track:1y1rQTkWmrZdJmjwuK07GC,225.0,0.452,0.385,0.464,0.0,2.0,0.109,-6.975,1.0,0.0404,137.839,0.15,2019-06-13
"Pritam, Arijit Singh",Khairiyat,spotify:track:5O932cZmzOZGOGZz9RHx20,213.0,0.697,0.534,0.481,0.0,0.0,0.142,-9.016,0.0,0.0412,124.914,0.293,2019-08-31
"DJ Snake, Justin Bieber",Let Me Love You,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,213.0,0.0863,0.649,0.716,2.63e-05,8.0,0.135,-5.371,1.0,0.0349,99.988,0.163,2016-08-05
"Shawn Mendes, Camila Cabello",Señorita,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,213.0,0.0392,0.759,0.548,0.0,9.0,0.0828,-6.049,0.0,0.029,116.967,0.749,2019-06-19
"Pritam, Tochi Raina, Rekha Bhardwaj",Kabira,spotify:track:4bD9z9qa4qg9BhryvYWB7c,212.0,0.481,0.59,0.555,0.0,2.0,0.192,-6.861,1.0,0.0271,84.027,0.191,2013-03-30
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,211.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Maninder Buttar,Sakhiyaan,spotify:track:3sqRODOZ1Z6hR4F2tnFAlg,207.0,0.3,0.706,0.674,0.0,9.0,0.202,-5.932,1.0,0.044,83.001,0.359,2018-10-21
"Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")",spotify:track:4OcvkkpF3xmyCGGY5IBlgi,203.0,0.822,0.605,0.53,0.0,11.0,0.131,-6.346,1.0,0.0246,93.951,0.399,2019-09-03
"The Chainsmokers, Halsey",Closer,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,199.0,0.414,0.748,0.524,0.0,8.0,0.111,-5.599,1.0,0.0338,95.01,0.661,2016-07-29
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,195.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")",spotify:track:1feANd8EfcDP5UqSvbheM3,195.0,0.45,0.308,0.585,0.0,9.0,0.319,-5.18,0.0,0.0428,171.843,0.345,2019-05-24
