Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Mrs. GREEN APPLE,青と夏,spotify:track:5BC6kr6etk2Y9J62AyI4i3,260.0,0.00157,0.31,0.891,0.0,4.0,0.284,-1.66,1.0,0.0469,184.886,0.748,2019-10-01
OFFICIAL HIGE DANDISM,ノーダウト,spotify:track:5DMEvbg3gUmiR5HIBWdveV,260.0,0.0585,0.574,0.936,0.0,2.0,0.336,-3.185,1.0,0.0701,149.954,0.792,2018-04-11
Aimyon,君はロックを聴かない,spotify:track:59eluCMn0XbOWqeWQ91FTM,260.0,0.00135,0.524,0.687,0.0,7.0,0.169,-4.039,1.0,0.0267,99.919,0.619,2017-09-12
Ed Sheeran,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,259.0,0.581,0.825,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,0.931,2017-03-03
SPITZ,チェリー,spotify:track:1ihCiJaXRl4f6Sy4LJov5z,247.0,0.227,0.646,0.805,1.95e-05,0.0,0.0901,-3.422,1.0,0.0292,97.201,0.748,1996
King Gnu,白日,spotify:track:172fMG26G2OoEzzg0wn26r,243.0,0.562,0.599,0.891,0.0,1.0,0.322,-3.242,1.0,0.116,93.029,0.694,2020-01-15
Aimyon,Marigold,spotify:track:2cKiHG16JBiqHdi7Llq0r7,243.0,0.0452,0.545,0.745,0.0,2.0,0.0907,-3.098,1.0,0.0286,106.094,0.413,2019-02-13
back number,高嶺の花子さん,spotify:track:2jdbZGFp8KVTuk0YxDNL4l,240.0,0.066,0.54,0.923,0.0,9.0,0.124,-2.838,1.0,0.0623,137.977,0.343,2014-03-26
MONGOL800,小さな恋のうた,spotify:track:23atyJacJVHvB9RHBNhr35,240.0,0.00203,0.403,0.778,0.0,11.0,0.227,-4.856,1.0,0.0395,115.581,0.628,2001-09-16
[Alexandros],ワタリドリ,spotify:track:0ve9Tpz8Yw0I4eXhWsy21o,238.0,0.00141,0.508,0.964,0.0,9.0,0.197,-4.077,1.0,0.0831,134.982,0.609,2015-06-17
