Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
BTS,Dynamite,spotify:track:5QDLhrAOJJdNAmCTJ8xMyW,140,0.0112,0.746,0.765,0.0,6.0,0.0936,-4.41,0.0,0.0993,114.044,0.737,2020-11-20
BTS,Filter,spotify:track:4bZZVcgWWMWPBwzTTp642w,136,0.0224,0.779,0.762,0.0,10.0,0.121,-5.188,0.0,0.0631,110.043,0.859,2020-02-21
JANNABI,for lovers who hesitate,spotify:track:5BqwC9kOBbqYkzdOKeXFFk,134,0.705,0.52,0.431,0.000264,10.0,0.301,-8.484,1.0,0.0284,74.004,0.302,2019-03-13
Justin Bieber,Love Yourself,spotify:track:50kpGaPAhYJ3sGmk6vplg0,133,0.835,0.609,0.378,0.0,4.0,0.28,-9.828,1.0,0.438,100.418,0.515,2015-11-13
Justin Bieber,Off My Face,spotify:track:3T03rPwlL8NVk1yIaxeD8U,133,0.92,0.509,0.228,0.0,4.0,0.104,-8.68,1.0,0.0332,90.674,0.586,2021-03-19
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,131,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
BTS,Euphoria,spotify:track:5YMXGBD6vcYP7IolemyLtK,130,0.394,0.637,0.799,0.0,2.0,0.0921,-4.518,1.0,0.0338,104.996,0.57,2018-08-24
Post Malone,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,125,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,0.553,2019-09-06
BTS,Butter,spotify:track:6jjYDGxVJsWS0a5wlVF5vS,124,0.00323,0.759,0.459,0.0,8.0,0.0788,-5.187,1.0,0.0948,109.997,0.695,2022-06-10
dhruv,double take,spotify:track:0QzuaeCEEOV40Pn7IvKEny,120,0.845,0.656,0.436,0.0,8.0,0.221,-11.141,1.0,0.0744,109.239,0.196,2022-01-21
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,118,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),spotify:track:567e29TDzLwZwfDuEpGTwo,117,0.0383,0.591,0.764,0.0,1.0,0.103,-5.484,1.0,0.0483,169.928,0.478,2021-07-27
NewJeans,Attention,spotify:track:2pIUpMhHL6L9Z5lnKxJJr9,115,0.236,0.811,0.648,0.0,10.0,0.0761,-3.684,0.0,0.0368,104.988,0.695,2022-08-01
Justin Bieber,Ghost,spotify:track:6I3mqTwhRpn34SLVafSH7G,112,0.185,0.601,0.741,2.91e-05,2.0,0.415,-5.569,1.0,0.0478,153.96,0.441,2021-03-19
