Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Ed Sheeran,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,258.0,0.163,0.599,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,0.168,2017-03-03
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,255.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
James Arthur,Say You Won't Let Go,spotify:track:5uCax9HTNlzGybIStD3vDh,255.0,0.695,0.358,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,0.494,2016-10-28
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,255.0,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,251.0,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,248.0,0.0622,0.776,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,0.666,2017-06-23
Halsey,Without Me,spotify:track:6FZDfxM3a3UCqtzo5pxSLZ,246.0,0.297,0.752,0.488,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,0.533,2020-01-17
Alec Benjamin,Let Me Down Slowly,spotify:track:2qxmye6gAegTMjLKEBoR3d,244.0,0.74,0.652,0.557,0.0,1.0,0.124,-5.714,0.0,0.0318,150.073,0.483,2018-11-16
Ed Sheeran,Shape of You,spotify:track:7qiZfU4dY1lWllzX7mPBI3,222.0,0.581,0.825,0.652,0.0,1.0,0.0931,-3.183,0.0,0.0802,95.977,0.931,2017-03-03
Anne-Marie,2002,spotify:track:2BgEsaKNfHUdlh97KmvFyo,221.0,0.0372,0.697,0.683,0.0,1.0,0.137,-2.881,0.0,0.117,96.133,0.603,2018-04-27
"The Weeknd, Daft Punk",Starboy,spotify:track:7MXVkk9YMctZqd1Srtv4MB,221.0,0.141,0.679,0.587,6.35e-06,7.0,0.137,-7.015,1.0,0.276,186.003,0.486,2016-11-25
Post Malone,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,209.0,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,0.553,2019-09-06
Lauv,I Like Me Better,spotify:track:0EcQcdcbQeVJn9fknj44Be,208.0,0.534,0.753,0.505,2.58e-06,9.0,0.104,-7.621,1.0,0.255,91.972,0.419,2018-05-31
