Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Bonez MC, RAF Camora, Maxwell",Ohne mein Team,spotify:track:05Mp2UJulSttxQ4E6hQPH3,229,0.16,0.766,0.8,1.6e-05,1.0,0.0744,-6.062,0.0,0.0938,129.999,0.635,2016-09-09
Apache 207,Roller,spotify:track:6hw1Sy9wZ8UCxYGdpKrU6M,215,0.0256,0.941,0.758,0.00258,10.0,0.193,-6.47,0.0,0.17,128.017,0.683,2019-10-25
Linkin Park,In the End,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,182,0.00958,0.556,0.864,0.0,3.0,0.209,-5.87,0.0,0.0584,105.143,0.4,2000-10-24
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,180,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,164,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,164,0.717,0.442,0.538,2.95e-05,4.0,0.09,-8.55,0.0,0.0451,122.758,0.139,2013-06-17
"Bonez MC, RAF Camora",500 PS,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,162,0.391,0.805,0.924,0.00448,7.0,0.0902,-5.883,0.0,0.0439,139.976,0.836,2018-10-05
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,151,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),spotify:track:22skzmqfdWrjJylampe0kt,149,0.0267,0.633,0.927,0.0,2.0,0.0986,-4.468,1.0,0.0839,146.097,0.88,2012-10-09
"Juju, Henning May",Vermissen (feat. Henning May),spotify:track:07f2b3CTdgKKlhv0mqUksz,148,0.169,0.717,0.668,0.0,9.0,0.0673,-5.003,0.0,0.0554,89.045,0.464,2019-06-14
