Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
TOQUEL,Sandra,spotify:track:73KYTCSbVlj5E02qWj8DPF,193,0.229,0.78,0.759,3.9e-06,4.0,0.319,-6.818,0.0,0.0604,93.009,0.395,2019-05-27
"SNIK, RACK",NANA,spotify:track:7hVXZVcmpcHq1DJ05dnFZK,171,0.404,0.816,0.784,1.57e-06,9.0,0.0954,-5.275,0.0,0.284,96.991,0.566,2022-01-14
"Saske, DJ PaCo",Cyan,spotify:track:7lOk3JSaMnbZhG381VLa6C,163,0.639,0.736,0.773,0.282,8.0,0.179,-8.762,0.0,0.0691,114.474,0.415,2019-11-01
"Mad Clip, Hawk, Light, Sapranov",XILIOMETRA,spotify:track:0Az2D1ByNU09je0ZtzDcHm,158,0.247,0.744,0.657,0.0,2.0,0.0942,-6.451,1.0,0.0592,100.023,0.164,2020-10-02
"Mente Fuerte, Hawk, Baghdad",Caliente,spotify:track:3wjl3uPGckJUAeI5cRG0bZ,156,0.59,0.746,0.647,0.000224,8.0,0.136,-6.082,1.0,0.0827,96.964,0.222,2019-06-14
"Hawk, Sapranov",Deja Vu,spotify:track:5A1uS1PcKcMsMG36KgAq1d,153,0.373,0.449,0.548,2.99e-06,6.0,0.0883,-7.743,0.0,0.153,70.766,0.176,2019-02-14
Fy,Aroma,spotify:track:4ewhPnjVBPYE5Mgc55dJ39,148,0.33,0.858,0.764,0.0,6.0,0.0929,-5.479,0.0,0.197,92.047,0.582,2020-02-28
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,145,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Dani Gambino, Dj The Boy",ELA PARTO,spotify:track:1VYv1xH7yUl0b43UVR6yA9,143,0.169,0.86,0.743,1.04e-06,9.0,0.064,-6.097,1.0,0.0514,133.977,0.744,2021-02-26
Travis Scott,goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,134,0.0847,0.841,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,0.43,2016-09-16
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,134,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Travis Scott,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,130,0.00513,0.834,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,0.446,2018-08-03
