Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Salmo, NSTASIA",IL CIELO NELLA STANZA (feat. NSTASIA),spotify:track:2fkVZYFv9hOejIsLzZy8ad,223,0.0867,0.755,0.501,1.45e-06,1.0,0.146,-9.551,1.0,0.189,134.998,0.267,2018-11-09
Marracash,CRUDELIA - I nervi,spotify:track:0xEgDBXYO9gGzmxCFWKxNg,204,0.132,0.503,0.551,0.0,7.0,0.343,-7.416,1.0,0.0733,109.862,0.0625,2019-10-31
"Guè, Marracash",Brivido,spotify:track:7fH13hSOyNoeiDGbjEnTUC,200,0.237,0.628,0.69,0.0,7.0,0.0899,-6.273,0.0,0.338,82.285,0.431,2013-01-01
Luchè,Non Abbiamo Età,spotify:track:0NwuXciw6eQc4edjwSBnV3,197,0.0522,0.372,0.689,0.0,6.0,0.154,-4.711,1.0,0.243,193.259,0.191,2018-06-29
Pinguini Tattici Nucleari,Ridere,spotify:track:5LZVK19ieaV8Mk9FsqTL3F,184,0.0493,0.713,0.902,0.0,9.0,0.0781,-3.009,1.0,0.0378,116.909,0.72,2020-02-07
Ernia,Superclassico,spotify:track:6Ahg1hncxUdK0ICqU03BCu,163,0.0624,0.623,0.663,4.49e-06,11.0,0.0922,-6.458,1.0,0.142,149.91,0.346,2020-06-18
Gazzelle,Destri,spotify:track:7nRFsITVaSHko2Fw2Gcy59,158,0.126,0.459,0.696,0.0,8.0,0.198,-4.953,1.0,0.0406,85.819,0.422,2021-02-12
"Ernia, Pinguini Tattici Nucleari",Ferma A Guardare (feat. Pinguini Tattici Nucleari),spotify:track:1eDC4NiUYgQSKpKDIvXxi4,140,0.445,0.585,0.724,0.0,9.0,0.1,-5.611,0.0,0.0967,162.05,0.547,2021-01-19
Pinguini Tattici Nucleari,Scrivile Scemo,spotify:track:71r3UlkV7sWvUYjas5paqi,140,0.123,0.617,0.916,0.0,9.0,0.183,-3.538,1.0,0.0317,135.091,0.552,2020-12-04
"Shablo, Geolier, Sfera Ebbasta",M' Manc (con Geolier & Sfera Ebbasta),spotify:track:0MLu1cFYL4ikdRTdasCQT9,135,0.048,0.703,0.704,0.0,6.0,0.41,-6.117,0.0,0.0641,139.933,0.725,2020-06-11
"Bresh, SHUNE",Angelina Jolie,spotify:track:2wDBnfPlixUHdqrS1HvpvY,134,0.073,0.658,0.628,0.0,7.0,0.117,-7.889,1.0,0.207,160.171,0.621,2022-03-04
Capo Plaza,Non Fare Così,spotify:track:769M2rTiAoL7x2lKDHLjRa,133,0.384,0.673,0.53,0.0,4.0,0.0594,-9.074,0.0,0.0637,122.074,0.43,2021-01-22
BLANCO,Notti In Bianco,spotify:track:1PWOkqMORYdGa0OEh2GaXM,132,0.359,0.599,0.79,0.0,6.0,0.105,-3.242,1.0,0.0422,75.004,0.693,2021-09-09
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,127,0.717,0.442,0.538,2.95e-05,4.0,0.09,-8.55,0.0,0.0451,122.758,0.139,2013-06-17
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,127,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Rkomi, Sfera Ebbasta, Junior K",NUOVO RANGE (con SFERA EBBASTA),spotify:track:5YSR0sWUZk7NuIbkycxndu,127,0.233,0.68,0.76,0.0,1.0,0.13,-4.866,0.0,0.0556,82.54,0.709,2021-11-30
Pinguini Tattici Nucleari,Pastello Bianco,spotify:track:0bKDQionn4VKcgNKbs4SWX,123,0.451,0.546,0.652,0.0,0.0,0.123,-3.852,1.0,0.0339,139.875,0.378,2020-12-04
"Boro, Don Joe, MamboLosco",Lento,spotify:track:0iRKVjfQzpr41T3WsU7shl,123,0.378,0.651,0.864,0.0,8.0,0.227,-5.799,0.0,0.225,181.936,0.812,2019-06-07
"Fred De Palma, Ana Mena",Una volta ancora (feat. Ana Mena),spotify:track:6swHvavSroD4ur3Q18MjYz,120,0.0848,0.771,0.638,0.0,8.0,0.104,-5.342,1.0,0.0622,124.039,0.591,2019-09-13
"BLANCO, Sfera Ebbasta",MI FAI IMPAZZIRE,spotify:track:1x3Qb8np6S1UvpSLthwEJN,116,0.00273,0.477,0.844,0.0,11.0,0.137,-4.87,1.0,0.0458,169.941,0.203,2021-06-17
