Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Babblarna,Babblarnas vaggvisa,spotify:track:3GygspQIcYy5OnRiw245Qh,296.0,0.828,0.299,0.234,0.000101,11.0,0.0959,-13.009,1.0,0.0321,186.369,0.333,2023-09-01
Avicii,Wake Me Up,spotify:track:0nrRP2bk19rLc0orkWPQk2,240.0,0.0038,0.532,0.783,0.0012,2.0,0.161,-5.697,1.0,0.0523,124.08,0.643,2013-01-01
Hov1,Hon dansar vidare i livet,spotify:track:1aEU7mcRDTYBB4ASpqbjYE,219.0,0.0267,0.655,0.651,0.0,8.0,0.133,-7.063,1.0,0.122,90.054,0.782,2018-09-11
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,216.0,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
Victor Leksell,Svag,spotify:track:4SS4YfDAEQG0fZAe1xfgn3,211.0,0.748,0.595,0.528,0.0,5.0,0.112,-8.922,0.0,0.0621,153.74,0.419,2020-06-17
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,196.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Lady Gaga, Bradley Cooper",Shallow,spotify:track:2VxeLyX666F8uXCJ0dZF8B,185.0,0.371,0.572,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,0.323,2018-10-05
"1.Cuz, Greekazo, Yei Gonzalez",FÖRSENT,spotify:track:6mDcLPGVCmdhMN4gBzNb7s,174.0,0.18,0.937,0.707,0.000376,10.0,0.186,-5.153,0.0,0.146,100.031,0.766,2019-11-29
Yasin,Young & Heartless,spotify:track:6t0YIui8b5Jt8oUVOrmujk,166.0,0.39,0.829,0.55,3.47e-05,8.0,0.116,-9.071,1.0,0.3,101.871,0.867,2020-05-22
"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,161.0,0.00163,0.662,0.858,0.0,2.0,0.0456,-4.844,1.0,0.0428,133.993,0.295,2017-08-10
Yasin,Hiphop N RnB,spotify:track:5bx4stZRInFwFz40fHDa7h,154.0,0.501,0.852,0.705,2.36e-05,7.0,0.109,-6.213,1.0,0.118,105.97,0.809,2020-05-22
Ant Wan,Dum,spotify:track:1PcFYA0p9UxvQkLe18s8gz,150.0,0.743,0.596,0.482,2.9e-06,7.0,0.11,-6.056,0.0,0.228,127.689,0.291,2022-10-13
"Hov1, Veronica Maggio",Hornstullsstrand,spotify:track:2kju4JyRnNmiwQYhFrLgKy,148.0,0.474,0.526,0.647,0.0,3.0,0.305,-6.259,1.0,0.106,142.28,0.55,2019-05-17
Mares,Sunnanvind,spotify:track:4GK4mydvnsodLEHWb4zJV4,148.0,0.0184,0.718,0.702,1.27e-05,1.0,0.388,-6.845,0.0,0.0324,103.934,0.357,2019-03-15
Albin Lee Meldau,Josefin,spotify:track:2gwirjNHYJPlBwOJ5Aftwv,145.0,0.836,0.515,0.454,0.0643,4.0,0.161,-10.119,0.0,0.0306,81.009,0.458,2021-04-23
Thomas Stenström,Ser du månen där du är ikväll? (Tillsammans igen),spotify:track:4SLYrBfzgbLmiEdoKajyHL,143.0,0.658,0.469,0.382,0.0,4.0,0.135,-7.372,1.0,0.0259,95.072,0.45,2020-12-04
Einár,Första Klass,spotify:track:74TEgDsFaq0zMttq1dVuYK,142.0,0.389,0.799,0.663,0.0,8.0,0.105,-4.956,0.0,0.171,95.053,0.425,2019-06-07
Miss Li,Lev nu dö sen,spotify:track:6HJasLoTKvxglAMQH8nPcD,140.0,0.0401,0.445,0.643,0.0,11.0,0.0818,-7.473,0.0,0.121,88.204,0.513,2019-10-19
Journey,Don't Stop Believin',spotify:track:4bHsxqR3GMrXTxEPLuK5ue,138.0,0.127,0.5,0.748,0.0,4.0,0.447,-9.072,1.0,0.0363,118.852,0.514,1981
"Hov1, Einár",Gamora,spotify:track:2Gd0oV24QsH0zb9nKFx7s5,135.0,0.103,0.648,0.733,0.0,10.0,0.0652,-5.359,0.0,0.155,174.849,0.836,2021-10-01
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,125.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Tones And I,Dance Monkey,spotify:track:2N8m6CYs74qQO4mjVcXO30,125.0,0.69,0.824,0.587,0.000105,6.0,0.149,-6.401,0.0,0.0937,98.029,0.514,2021-07-16
Dree Low,PIPPI,spotify:track:3ySRhREV5ceozxdk0lPqIe,124.0,0.429,0.885,0.57,0.0,8.0,0.111,-8.172,0.0,0.222,105.036,0.86,2019-09-01
Hov1,Barn av vår tid,spotify:track:5YIMEJOJYmHaeZ0x4qAZjI,123.0,0.664,0.534,0.629,0.0,5.0,0.0891,-6.238,1.0,0.394,180.111,0.854,2021-10-01
Tom Odell,Another Love,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,122.0,0.717,0.442,0.538,2.95e-05,4.0,0.09,-8.55,0.0,0.0451,122.758,0.139,2013-06-17
Molly Sandén,"Rosa himmel (från ""Störst av allt"")",spotify:track:3xkGJKpWrn1n6Bk2m84bJP,118.0,0.981,0.479,0.0983,0.00692,2.0,0.0987,-11.794,1.0,0.0408,141.83,0.243,2019-04-05
Molly Sandén,Sand,spotify:track:7CYKovD8hNKg0w902IASMi,117.0,0.768,0.68,0.3,0.0,10.0,0.309,-8.419,1.0,0.0338,114.741,0.393,2018-04-27
Veronica Maggio,Tillfälligheter,spotify:track:0rBj6lYQUMHwTJ33sdj6Qz,116.0,0.574,0.632,0.682,0.000105,5.0,0.188,-8.584,1.0,0.0441,129.911,0.588,2019-09-27
Miss Li,Instruktionsboken,spotify:track:7zKTQhQPCGnh2PgP93Pxsu,116.0,0.181,0.822,0.419,0.0,0.0,0.0625,-4.875,1.0,0.0456,120.032,0.829,2021-09-24
Thomas Stenström,Slå mig hårt i ansiktet,spotify:track:2Lv9FudgITbthtKK1B5wxY,114.0,0.0548,0.528,0.88,0.000263,1.0,0.342,-6.155,1.0,0.0367,157.893,0.704,2014-10-08
Lasse Stefanz,En säng av rosor,spotify:track:4HVxx38LrmObbPJeUCHQCK,113.0,0.295,0.325,0.483,1.77e-05,0.0,0.14,-8.872,1.0,0.0455,91.965,0.197,2022-11-05
Dean Lewis,Be Alright,spotify:track:5qrSlOut2rNAWv3ubArkNy,112.0,0.705,0.551,0.537,0.0,11.0,0.0802,-7.595,1.0,0.034,126.421,0.493,2019-03-22
"Miriam Bryant, Victor Leksell",tystnar i luren,spotify:track:5IZGN81VVgBv1lPrjXzOD6,111.0,0.55,0.463,0.616,0.0,7.0,0.446,-7.166,1.0,0.149,183.76,0.695,2021-11-19
Darin,Starkare,spotify:track:42eROuSbvedc6rWI4Wixj4,108.0,0.15,0.452,0.547,0.0,4.0,0.0875,-7.093,1.0,0.0395,168.058,0.405,2023-09-15
Miss Li,Komplicerad,spotify:track:4QKscNaTs47Zv3QV9o62yX,108.0,0.0494,0.934,0.488,0.0,8.0,0.0642,-7.014,1.0,0.0713,116.049,0.867,2021-09-24
"Humlan Djojj, Josefine Götestam",Djurens vaggvisa,spotify:track:5maA851Fle6XexgJgJzFjF,106.0,0.972,0.743,0.0349,2.24e-06,0.0,0.108,-17.89,1.0,0.0504,99.969,0.451,2020-10-30
Veronica Maggio,Välkommen in,spotify:track:5MEuFY2DxrozPEgGpR8Fji,104.0,0.115,0.625,0.676,0.00277,0.0,0.248,-7.059,1.0,0.036,120.019,0.629,2011-01-01
Håkan Hellström,Det kommer aldrig va över för mig,spotify:track:3SjXx3rbNGk8nCho8YEoz5,102.0,0.0113,0.552,0.872,3.2e-05,0.0,0.507,-6.48,1.0,0.0459,127.027,0.469,2013-01-01
Veronica Maggio,Jag kommer,spotify:track:5M2y8QdDepGYMsWyxhoxQU,101.0,0.00562,0.572,0.867,3.32e-05,3.0,0.178,-6.354,1.0,0.0782,151.076,0.863,2011-01-01
"Lost Frequencies, Calum Scott",Where Are You Now,spotify:track:3uUuGVFu1V7jTQL60S1r8z,100.0,0.515,0.671,0.636,0.000411,6.0,0.172,-8.117,0.0,0.103,120.966,0.262,2021-07-30
Billie Eilish,when the party's over,spotify:track:43zdsphuZLzwA9k4DJhU0I,100.0,0.978,0.367,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,0.198,2019-03-29
"Albatraoz, Kåren",Raggarbil,spotify:track:42hMLGWV8lNXgfXOeLnxLC,99.0,0.219,0.791,0.832,0.0,5.0,0.398,-6.52,1.0,0.0921,102.028,0.82,2022-02-25
