Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Danny Ocean,Me Rehúso,spotify:track:6ifUES3keWjwXgae8pXI3o,260.0,0.0231,0.744,0.804,0.0,1.0,0.0494,-6.327,1.0,0.0677,104.823,0.426,2019-03-22
Alejandro Fernández,Me Dediqué a Perderte,spotify:track:4NUt1fcnO9aQAELBgXq3Kr,251.0,0.491,0.642,0.442,1.58e-06,8.0,0.102,-9.115,1.0,0.074,148.01,0.465,2004-09-01
Christian Nodal,No Te Contaron Mal,spotify:track:7hbk4BaF66O09R1gq0bKwj,251.0,0.369,0.644,0.568,0.0,9.0,0.151,-3.077,0.0,0.038,81.409,0.654,2019-05-10
The Police,Every Breath You Take,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,251.0,0.543,0.82,0.452,0.00294,1.0,0.0714,-9.796,1.0,0.0348,117.401,0.74,1983-06-17
Christian Nodal,Adiós Amor,spotify:track:63bmZnBN1CiJ9sA4qTEe8y,245.0,0.169,0.433,0.431,0.0,2.0,0.307,-6.422,1.0,0.0367,177.732,0.722,2017-08-25
Christian Nodal,De Los Besos Que Te Di,spotify:track:1qfoq1qvZT7VwDVeekCJ97,234.0,0.388,0.504,0.503,0.0,7.0,0.0608,-3.313,1.0,0.0422,195.593,0.709,2019-05-10
"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,spotify:track:2beS6dD5rovBxSA1zYoSHR,229.0,0.14,0.804,0.787,0.0,10.0,0.0927,-3.824,0.0,0.0746,91.974,0.562,2019-05-24
"J Balvin, Bad Bunny",LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,223.0,0.152,0.754,0.646,1.85e-05,7.0,0.108,-5.795,1.0,0.317,176.089,0.429,2019-06-28
"Bad Bunny, Tainy",Callaita,spotify:track:71wFwRo8xGc4lrcyKwsvba,221.0,0.597,0.608,0.626,2.16e-06,2.0,0.25,-4.773,1.0,0.301,176.086,0.246,2022-05-06
Bad Bunny,Si Estuviésemos Juntos,spotify:track:35wvL50xvKpCHEJPxLOLPI,219.0,0.0626,0.672,0.594,5.14e-05,1.0,0.152,-6.813,0.0,0.0789,171.854,0.158,2018-12-23
Bacilos,Caraluna,spotify:track:7DhYjNLksXZhbRQeheAums,215.0,0.176,0.76,0.773,0.0,9.0,0.1,-5.314,1.0,0.0675,102.789,0.895,2002-06-25
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,203.0,0.0622,0.776,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,0.666,2017-06-23
