Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Danny Ocean,Me Rehúso,spotify:track:6ifUES3keWjwXgae8pXI3o,260.0,0.0231,0.744,0.804,0.0,1.0,0.0494,-6.327,1.0,0.0677,104.823,0.426,2019-03-22
Luis Miguel,Ahora Te Puedes Marchar,spotify:track:1uKjQoh8JZj9ryuYRhpd7E,260.0,0.148,0.78,0.877,2.36e-06,6.0,0.0627,-3.683,0.0,0.0427,133.263,0.909,1987-07-15
León Larregui,Brillas,spotify:track:0SRddBTphQwQcfqw4Br1uX,253.0,0.376,0.625,0.433,0.00103,9.0,0.248,-12.963,1.0,0.0366,93.041,0.274,2012-01-01
Ed Maverick,Fuentes de Ortiz,spotify:track:0akyEssGRVHstqCSWXusJL,241.0,0.946,0.83,0.159,2.02e-05,1.0,0.362,-14.461,1.0,0.0383,104.95,0.189,2018-03-02
Rels B,A Mí,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,241.0,0.241,0.846,0.548,0.0713,1.0,0.0419,-6.397,1.0,0.256,94.925,0.516,2019-02-21
Alejandro Fernández,Me Dediqué a Perderte,spotify:track:4NUt1fcnO9aQAELBgXq3Kr,234.0,0.491,0.642,0.442,1.58e-06,8.0,0.102,-9.115,1.0,0.074,148.01,0.465,2004-09-01
Hombres G,Devuélveme a mi chica,spotify:track:1Wrzhfa5bNlqvsnCztz190,233.0,0.0031,0.603,0.843,0.0337,9.0,0.445,-7.597,0.0,0.0557,172.676,0.503,1985
Los Enanitos Verdes,Lamento Boliviano,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,226.0,0.176,0.714,0.735,0.000622,4.0,0.115,-7.125,0.0,0.0306,123.57,0.68,1994-01-01
"J Balvin, Bad Bunny",LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,223.0,0.152,0.754,0.646,1.85e-05,7.0,0.108,-5.795,1.0,0.317,176.089,0.429,2019-06-28
"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,spotify:track:2beS6dD5rovBxSA1zYoSHR,223.0,0.14,0.804,0.787,0.0,10.0,0.0927,-3.824,0.0,0.0746,91.974,0.562,2019-05-24
Luis Miguel,La Incondicional,spotify:track:6F9yAYUaNbUhdlQyt5uZ3b,213.0,0.237,0.374,0.727,0.0,10.0,0.134,-4.352,1.0,0.0309,155.127,0.283,1988-11-25
Bad Bunny,Si Estuviésemos Juntos,spotify:track:35wvL50xvKpCHEJPxLOLPI,212.0,0.0626,0.672,0.594,5.14e-05,1.0,0.152,-6.813,0.0,0.0789,171.854,0.158,2018-12-23
León Larregui,Locos,spotify:track:3GSMdtJphymHEsR8K9jT5Q,195.0,0.072,0.724,0.646,0.000157,10.0,0.0923,-6.475,1.0,0.0352,112.019,0.957,2016-03-11
"Bad Bunny, Tainy",Callaita,spotify:track:71wFwRo8xGc4lrcyKwsvba,195.0,0.597,0.608,0.626,2.16e-06,2.0,0.25,-4.773,1.0,0.301,176.086,0.246,2022-05-06
Junior H,Ella,spotify:track:0tKl8ZVM6xJkhznvJAS3Nq,190.0,0.363,0.478,0.732,3.34e-06,4.0,0.0768,-4.342,0.0,0.0779,184.819,0.664,2019-10-31
Cardenales De Nuevo León,Belleza De Cantina,spotify:track:4ZplewvZRLFcfBa5uyBbhd,189.0,0.282,0.755,0.596,0.0,9.0,0.0508,-7.849,0.0,0.0402,96.487,0.806,2002-01-01
Banda MS de Sergio Lizárraga,El Color de Tus Ojos,spotify:track:1l77YWrGUp3qX3NS1rz7lq,184.0,0.278,0.765,0.339,0.0,8.0,0.131,-8.965,1.0,0.0365,123.95,0.864,2017-04-21
Alfredo Olivas,Vete,spotify:track:1GtIK8iINes4gNt06F60NU,179.0,0.442,0.626,0.708,3.04e-06,5.0,0.137,-7.097,1.0,0.0556,168.162,0.883,2022-09-30
"Bad Bunny, Daddy Yankee",La Santa,spotify:track:69vlMrzHwATKzupwNcUPyK,174.0,0.0326,0.744,0.868,0.0,1.0,0.0822,-4.524,1.0,0.047,93.037,0.586,2020-02-29
Chayín Rubio,Ya Me Enteré,spotify:track:4ggabbjjuHrG06SsYnqvEs,173.0,0.835,0.657,0.591,0.0,10.0,0.248,-3.505,1.0,0.0297,132.041,0.687,2018-05-11
Christian Nodal,Adiós Amor,spotify:track:63bmZnBN1CiJ9sA4qTEe8y,171.0,0.169,0.433,0.431,0.0,2.0,0.307,-6.422,1.0,0.0367,177.732,0.722,2017-08-25
Christian Nodal,No Te Contaron Mal,spotify:track:7hbk4BaF66O09R1gq0bKwj,171.0,0.369,0.644,0.568,0.0,9.0,0.151,-3.077,0.0,0.038,81.409,0.654,2019-05-10
Christian Nodal,De Los Besos Que Te Di,spotify:track:1qfoq1qvZT7VwDVeekCJ97,166.0,0.388,0.504,0.503,0.0,7.0,0.0608,-3.313,1.0,0.0422,195.593,0.709,2019-05-10
Carin Leon,Me la Avente,spotify:track:3nQ0FbZL6DTcGnu03Jpgzm,166.0,0.566,0.709,0.485,0.0,11.0,0.06,-4.546,0.0,0.0342,144.426,0.94,2019-02-19
Calibre 50,Si Te Pudiera Mentir,spotify:track:3p6eieHX6oEOzJStPtEsLu,166.0,0.348,0.764,0.585,0.00294,2.0,0.369,-7.796,1.0,0.0305,90.013,0.89,2019-08-16
"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",Prometiste,spotify:track:2UypFzxfaYgMUnQX2k4qtj,163.0,0.807,0.602,0.398,0.0,0.0,0.703,-9.503,1.0,0.104,126.285,0.603,2014-11-21
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,162.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
Paulo Londra,Tal Vez,spotify:track:5jW3rF4URMdK7tO2xjS5EI,161.0,0.25,0.855,0.649,0.0,8.0,0.0801,-2.443,1.0,0.151,161.986,0.741,2019-05-23
Bad Bunny,A Tu Merced,spotify:track:4r9jkMEnArtWGH2rL2FZl0,157.0,0.169,0.86,0.791,0.000106,0.0,0.106,-4.784,1.0,0.0568,92.023,0.887,2020-02-29
Bad Bunny,Si Veo a Tu Mamá,spotify:track:41wtwzCZkXwpnakmwJ239F,156.0,0.402,0.9,0.603,4.81e-06,2.0,0.134,-5.313,1.0,0.0646,129.928,0.824,2020-02-29
"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,spotify:track:1s59X35jDULAyOGmBuTAnd,154.0,0.784,0.643,0.35,0.0,4.0,0.102,-5.924,0.0,0.0783,118.199,0.541,2019-11-01
Luis Miguel,Culpable O No - Miénteme Como Siempre,spotify:track:7BwxbmYFy0l3ROHDjV2c14,154.0,0.0367,0.54,0.367,0.0,0.0,0.0433,-14.238,1.0,0.0277,70.276,0.252,1988-11-25
"Grupo Firme, Carin Leon",El Tóxico,spotify:track:7E9GeFGfjXw9LAI4ay6rsw,148.0,0.407,0.626,0.503,0.0,10.0,0.234,-5.087,1.0,0.141,72.985,0.821,2020-10-27
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,140.0,0.0622,0.776,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,0.666,2017-06-23
Christian Nodal,Probablemente,spotify:track:4prmUBle7TtAeeUgCnsc3Z,140.0,0.393,0.589,0.49,0.0,7.0,0.118,-5.291,1.0,0.0302,160.179,0.604,2017-08-25
"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,spotify:track:3lR4O0vtkhCAvVEUEWUL0S,139.0,0.259,0.728,0.542,0.0,0.0,0.136,-5.195,1.0,0.0514,90.016,0.637,2021-03-18
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,138.0,0.401,0.731,0.573,5.22e-05,4.0,0.113,-10.059,0.0,0.0544,109.928,0.145,2020-11-27
"Carin Leon, Tony Melendez",El Amor De Tu Vida,spotify:track:7AWgHNS16hOhmiyPIRRcmC,138.0,0.41,0.454,0.489,0.0,8.0,0.133,-8.343,1.0,0.081,166.446,0.676,2020-08-17
Bad Bunny,La Difícil,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,136.0,0.0861,0.685,0.848,7.14e-06,8.0,0.0783,-4.561,0.0,0.0858,179.87,0.761,2020-02-29
"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Amor a Primera Vista,spotify:track:5Myb8S90Wg0yLec5kmrIGJ,136.0,0.228,0.678,0.821,4.79e-05,0.0,0.147,-6.017,1.0,0.0672,170.164,0.96,2020-08-28
