Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,255,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
"Lil Baby, Gunna",Drip Too Hard (Lil Baby & Gunna),spotify:track:78QR3Wp35dqAhFEc2qAGjE,242,0.0852,0.897,0.662,0.0,1.0,0.534,-6.903,0.0,0.292,112.511,0.389,2018-10-05
Juice WRLD,All Girls Are The Same,spotify:track:4VXIryQMWpIdGgYR4TrjT1,239,0.0769,0.671,0.529,0.000335,0.0,0.0856,-7.226,1.0,0.307,161.989,0.203,2018-12-10
Juice WRLD,Lucid Dreams,spotify:track:285pBltuF7vW8TeWk8hdRR,229,0.349,0.511,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,0.218,2018-12-10
Morgan Wallen,Whiskey Glasses,spotify:track:6foY66mWZN0pSRjZ408c00,228,0.369,0.614,0.68,1.84e-06,6.0,0.115,-4.58,1.0,0.0289,149.959,0.707,2018-04-27
J. Cole,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr,215,0.324,0.69,0.521,0.0,10.0,0.0534,-8.492,0.0,0.339,100.028,0.494,2014-12-09
Joji,SLOW DANCING IN THE DARK,spotify:track:0rKtyWc8bvkriBthvHKY8d,214,0.544,0.515,0.479,0.00598,3.0,0.191,-7.458,1.0,0.0261,88.964,0.284,2018-10-26
J. Cole,MIDDLE CHILD,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,198,0.149,0.837,0.364,0.0,8.0,0.271,-11.713,1.0,0.276,123.984,0.463,2019-01-23
Post Malone,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,189,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,0.553,2019-09-06
Lil Uzi Vert,XO Tour Llif3,spotify:track:7GX5flRQZVHRAGd6B4TmDO,186,0.00264,0.732,0.75,0.0,11.0,0.109,-6.366,0.0,0.231,155.096,0.401,2017-08-25
XXXTENTACION,Jocelyn Flores,spotify:track:7m9OqQk4RVRkw9JJdeAw96,183,0.469,0.872,0.391,4.13e-06,0.0,0.297,-9.144,0.0,0.242,134.021,0.437,2017-08-25
Travis Scott,goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,180,0.0847,0.841,0.728,0.0,7.0,0.149,-3.37,1.0,0.0484,130.049,0.43,2016-09-16
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,179,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
The Neighbourhood,Sweater Weather,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,163,0.0495,0.612,0.807,0.0177,10.0,0.101,-2.81,1.0,0.0336,124.053,0.398,2013-04-19
Luke Combs,Beautiful Crazy,spotify:track:2rxQMGVafnNaRaXlRMWPde,162,0.676,0.551,0.402,0.0,11.0,0.0928,-7.431,1.0,0.0262,103.313,0.382,2018-06-01
Lil Uzi Vert,20 Min,spotify:track:0uxSUdBrJy9Un0EYoBowng,159,0.109,0.773,0.75,0.0,8.0,0.174,-4.009,0.0,0.117,123.426,0.783,2017-11-17
Juice WRLD,Robbery,spotify:track:6iaSML1PIYq936g62BDtBq,156,0.328,0.623,0.692,0.0,2.0,0.153,-5.122,1.0,0.0504,79.899,0.566,2019-03-08
The Killers,Mr. Brightside,spotify:track:003vvx7Niy0yvhvHt4a68B,155,0.00121,0.352,0.911,0.0,1.0,0.0995,-5.23,1.0,0.0747,148.033,0.236,2004
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,153,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Glass Animals,Heat Waves,spotify:track:3USxtqRwSYz57Ewm6wWRMp,149,0.44,0.761,0.525,6.7e-06,11.0,0.0921,-6.9,1.0,0.0944,80.87,0.531,2020-08-07
"Kendrick Lamar, Jay Rock",Money Trees,spotify:track:2HbKqm4o0w5wEeEFXm2sD4,146,0.0703,0.716,0.531,0.0,7.0,0.224,-7.355,1.0,0.122,71.994,0.344,2012
Kanye West,Heartless,spotify:track:4EWCNWgDS8707fNSZ1oaA5,146,0.0515,0.79,0.647,0.0,10.0,0.248,-5.983,0.0,0.136,87.999,0.654,2008-11-24
Fleetwood Mac,Dreams - 2004 Remaster,spotify:track:0ofHAoxe9vBkTCp2UQIavz,145,0.0644,0.828,0.492,0.00428,0.0,0.128,-9.744,1.0,0.0276,120.151,0.789,1977-02-04
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,144,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
"Lil Baby, Drake",Yes Indeed,spotify:track:6vN77lE9LK6HP2DewaN6HZ,143,0.0355,0.963,0.346,0.0,5.0,0.108,-9.309,0.0,0.53,119.957,0.562,2018-05-18
"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),spotify:track:7sO5G9EABYOXQKNPNiE9NR,143,0.149,0.88,0.428,5.05e-05,9.0,0.114,-8.28,1.0,0.206,100.007,0.333,2017-10-30
"XXXTENTACION, Trippie Redd",Fuck Love,spotify:track:7AQim7LbvFVZJE3O8TYgf2,143,0.0172,0.797,0.533,0.000152,0.0,0.103,-9.74,0.0,0.0412,131.036,0.329,2017-08-25
Arctic Monkeys,505,spotify:track:58ge6dfP91o9oXMzq3XkIS,142,0.00237,0.52,0.852,5.79e-05,0.0,0.0733,-5.866,1.0,0.0543,140.267,0.234,2007-04-24
Morgan Wallen,Wasted On You,spotify:track:3cBsEDNhFI9E82vPj3kvi3,141,0.373,0.505,0.657,0.00107,11.0,0.126,-5.24,0.0,0.0318,196.0,0.252,2021-01-08
Travis Scott,SICKO MODE,spotify:track:2xLMifQCjDGFmkHkpNLD9h,140,0.00513,0.834,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,0.446,2018-08-03
Kali Uchis,Moonlight,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,137,0.518,0.642,0.706,0.0,7.0,0.25,-6.872,0.0,0.052,136.851,0.896,2023-03-03
XXXTENTACION,SAD!,spotify:track:3ee8Jmje8o58CHK66QrVC2,137,0.258,0.74,0.613,0.00372,8.0,0.123,-4.88,1.0,0.145,75.023,0.473,2018-03-16
Morgan Wallen,Chasin' You,spotify:track:5MwynWK9s4hlyKHqhkNn4A,136,0.657,0.631,0.591,0.0,7.0,0.11,-5.785,1.0,0.0277,97.074,0.489,2018-04-27
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,136,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
Harry Styles,Falling,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,135,0.839,0.567,0.267,1.46e-06,4.0,0.089,-6.502,1.0,0.0299,110.011,0.0592,2019-12-13
Tame Impala,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ,129,0.0115,0.64,0.74,0.00678,4.0,0.167,-4.083,1.0,0.0284,116.879,0.785,2015-07-17
