Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Eagles,Hotel California - 2013 Remaster,spotify:track:40riOy7x9W7GXjyGp4pjAv,260.0,0.00574,0.579,0.508,0.000494,2.0,0.0575,-9.484,1.0,0.027,147.125,0.609,1976-12-08
Fleetwood Mac,Dreams - 2004 Remaster,spotify:track:0ofHAoxe9vBkTCp2UQIavz,260.0,0.0644,0.828,0.492,0.00428,0.0,0.128,-9.744,1.0,0.0276,120.151,0.789,1977-02-04
Fleetwood Mac,Go Your Own Way - 2004 Remaster,spotify:track:07GvNcU1WdyZJq3XxP0kZa,260.0,0.0185,0.583,0.947,0.00109,5.0,0.0679,-5.12,1.0,0.0378,135.448,0.803,1977-02-04
Journey,Don't Stop Believin',spotify:track:4bHsxqR3GMrXTxEPLuK5ue,260.0,0.127,0.5,0.748,0.0,4.0,0.447,-9.072,1.0,0.0363,118.852,0.514,1981
TOTO,Africa,spotify:track:2374M0fQpWi3dLnB54qaLX,259.0,0.257,0.671,0.373,8.01e-05,9.0,0.0481,-18.064,1.0,0.0323,92.718,0.732,1982-04-08
The Killers,Mr. Brightside,spotify:track:003vvx7Niy0yvhvHt4a68B,259.0,0.00121,0.352,0.911,0.0,1.0,0.0995,-5.23,1.0,0.0747,148.033,0.236,2004
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,258.0,0.533,0.755,0.522,0.0,2.0,0.0685,-4.368,1.0,0.0575,89.96,0.925,2019-09-06
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",spotify:track:3gdewACMIVMEWVbyb8O9sY,258.0,0.432,0.601,0.532,6.25e-06,10.0,0.0925,-9.119,1.0,0.0286,136.571,0.341,1972-05-19
SIX60,Don't Forget Your Roots - 2021 Remix / Remaster,spotify:track:5mUiad5pDU1wFvIbtKgJKB,257.0,0.00115,0.633,0.541,0.000398,0.0,0.0752,-8.201,1.0,0.0312,145.964,0.406,2011-01-01
"Lady Gaga, Bradley Cooper",Shallow,spotify:track:2VxeLyX666F8uXCJ0dZF8B,257.0,0.371,0.572,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,0.323,2018-10-05
J. Cole,No Role Modelz,spotify:track:68Dni7IE4VyPkTOH9mRWHr,247.0,0.324,0.69,0.521,0.0,10.0,0.0534,-8.492,0.0,0.339,100.028,0.494,2014-12-09
Van Morrison,Brown Eyed Girl,spotify:track:3yrSvpt2l1xhsV9Em88Pul,245.0,0.185,0.491,0.583,0.0,7.0,0.406,-10.964,1.0,0.0376,150.566,0.908,1967-09
Lewis Capaldi,Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,243.0,0.751,0.501,0.405,0.0,1.0,0.105,-5.679,1.0,0.0319,109.891,0.446,2019-05-17
James Arthur,Say You Won't Let Go,spotify:track:5uCax9HTNlzGybIStD3vDh,242.0,0.695,0.358,0.557,0.0,10.0,0.0902,-7.398,1.0,0.059,85.043,0.494,2016-10-28
Miley Cyrus,Party In The U.S.A.,spotify:track:3E7dfMvvCLUddWissuqMwr,241.0,0.00112,0.652,0.698,0.000115,10.0,0.0886,-4.667,0.0,0.042,96.021,0.47,2009-01-01
Chris Stapleton,Tennessee Whiskey,spotify:track:3fqwjXwUGN6vbzIwvyFMhx,241.0,0.205,0.392,0.37,0.0096,9.0,0.0821,-10.888,1.0,0.0298,48.718,0.512,2015-05-04
"Billie Eilish, Khalid",lovely (with Khalid),spotify:track:0u2P5u6lvoDfwTYjAADbn4,234.0,0.934,0.351,0.296,0.0,4.0,0.095,-10.109,0.0,0.0333,115.284,0.12,2018-04-19
Fleetwood Mac,The Chain - 2004 Remaster,spotify:track:5e9TFTbltYBg2xThimr0rU,229.0,0.009,0.545,0.67,0.000822,9.0,0.0451,-8.81,1.0,0.0496,151.553,0.481,1977-02-04
Vance Joy,Riptide,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,221.0,0.431,0.484,0.731,0.0,1.0,0.151,-6.694,1.0,0.0379,101.654,0.51,2014-09-08
Bryan Adams,Summer Of '69,spotify:track:0GONea6G2XdnHWjNZd6zt3,216.0,0.0183,0.508,0.834,0.0,2.0,0.0732,-6.205,1.0,0.0386,139.131,0.774,1984-11-05
Queen,Bohemian Rhapsody - Remastered 2011,spotify:track:4u7EnebtmKWzUH433cf5Qv,212.0,0.271,0.414,0.404,0.0,0.0,0.3,-9.928,0.0,0.0499,71.105,0.224,1975-11-21
The Doobie Brothers,Listen to the Music,spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,211.0,0.221,0.645,0.598,3.53e-06,1.0,0.0721,-13.18,0.0,0.0335,105.929,0.913,1972
Post Malone,Circles,spotify:track:21jGcNKet2qwijlDFuPiPb,205.0,0.192,0.695,0.762,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,0.553,2019-09-06
L.A.B.,Controller,spotify:track:6UGJKTfIzk6WqjTgBeQg5O,203.0,0.397,0.783,0.546,0.000398,4.0,0.0723,-10.531,1.0,0.0357,143.994,0.572,2017-11-24
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,203.0,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
L.A.B.,In the Air,spotify:track:6r88rMGtfNgC0SJEytTA7c,201.0,0.105,0.974,0.643,0.00141,9.0,0.0833,-8.857,0.0,0.0452,117.985,0.967,2019-12-06
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,200.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
Fleetwood Mac,Everywhere - 2017 Remaster,spotify:track:254bXAqt3zP6P50BdQvEsq,196.0,0.258,0.73,0.487,0.01,4.0,0.0852,-10.991,1.0,0.0303,114.965,0.731,1987-04-13
Lynyrd Skynyrd,Sweet Home Alabama,spotify:track:7e89621JPkKaeDSTQ3avtg,192.0,0.181,0.596,0.605,0.000331,7.0,0.0863,-12.145,1.0,0.0255,97.798,0.886,1974-04-15
"Drax Project, SIX60",Catching Feelings (feat. SIX60),spotify:track:0gCNs3jCCDhObAK0MRghtv,186.0,0.605,0.396,0.521,0.0,3.0,0.157,-5.877,1.0,0.101,175.558,0.34,2019-09-27
Ed Sheeran,Perfect,spotify:track:0tgVpDi06FyKpA1z0VMD4v,185.0,0.163,0.599,0.448,0.0,8.0,0.106,-6.312,1.0,0.0232,95.05,0.168,2017-03-03
