Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Ciro y los Persas,Me Gusta,spotify:track:67Q93kXygxCskeQiIP0V0j,312.0,0.0204,0.643,0.813,5.48e-05,2.0,0.131,-5.976,1.0,0.0272,131.997,0.706,2012-11-19
Intoxicados,Nunca quise,spotify:track:0ZAJ660VP57lLK4U7NlGOy,260.0,0.0891,0.709,0.787,0.0,9.0,0.149,-6.3,1.0,0.0279,118.001,0.874,2005
Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,spotify:track:2qBirMakpTdz9ymxrZEyzg,259.0,0.689,0.679,0.368,1.02e-05,11.0,0.28,-15.449,0.0,0.0251,104.931,0.736,1991-01-01
Gustavo Cerati,Crimen,spotify:track:3oqWr0jDWNXxWufNogGREp,249.0,0.44,0.537,0.502,0.0709,4.0,0.199,-8.406,1.0,0.025,80.511,0.288,2006-04-04
Turf,Pasos Al Costado,spotify:track:7upAH0ezzsThyvr33YKn4u,240.0,0.02,0.589,0.901,0.0,2.0,0.355,-3.442,1.0,0.0311,125.976,0.795,2004-01-01
Soda Stereo,Trátame Suavemente - Remasterizado 2007,spotify:track:65DBZofI0b79kfHTcWWDuU,237.0,0.043,0.738,0.8,0.0543,11.0,0.595,-3.366,0.0,0.0283,122.858,0.532,1984-02-06
Andrés Calamaro,Flaca,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,222.0,0.21,0.739,0.745,0.0135,7.0,0.127,-6.658,1.0,0.0267,109.326,0.949,1997
Ke Personajes,Cómo estás,spotify:track:6bLvfGI2XeU5DTl8feuNrk,217.0,0.289,0.59,0.857,4.21e-06,10.0,0.0414,-1.986,0.0,0.0553,135.29,0.976,2019-04-17
Divididos,Spaghetti del Rock,spotify:track:6rg1MBZqggsQ5olFGTw0rr,203.0,0.677,0.626,0.389,1.12e-05,4.0,0.117,-11.609,1.0,0.0254,97.708,0.656,2000-02-14
Airbag,Por Mil Noches,spotify:track:10zSgbysU2KyVTrcRmtu62,194.0,0.0169,0.554,0.672,5.42e-05,1.0,0.186,-7.489,0.0,0.0291,111.963,0.285,2013-11-27
La K'onga,Ya No Más,spotify:track:4Uvf83UnV1LryFvHqqhGpT,191.0,0.39,0.711,0.674,2.58e-05,1.0,0.0985,-7.121,1.0,0.0421,153.185,0.757,2020-11-13
Los Tipitos,Campanas en la Noche,spotify:track:0C9V5jMElp7laZZdsCHufD,180.0,0.303,0.636,0.593,1.41e-05,4.0,0.108,-5.181,0.0,0.0567,145.972,0.742,2004-08-01
La K'onga,Te Mentiría,spotify:track:3EcCc1U405tm8yKm1x6Y8W,170.0,0.116,0.651,0.731,0.0,7.0,0.0708,-6.889,1.0,0.0549,153.104,0.653,2021-12-09
La K'onga,El Mismo Aire,spotify:track:7onMf0QvWgRba2MRxG27yj,166.0,0.0746,0.762,0.748,0.0,0.0,0.128,-6.273,0.0,0.0407,149.985,0.822,2020-11-13
No Te Va Gustar,A las Nueve,spotify:track:0CgpCtEPvyDizcg2p47VrU,165.0,0.236,0.625,0.804,8.22e-05,4.0,0.308,-5.652,0.0,0.0268,129.931,0.827,2012-10-18
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,163.0,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
WOS,MELÓN VINO,spotify:track:5uHAzGa4d9j35DEbhUwGhi,159.0,0.531,0.62,0.741,2.92e-05,4.0,0.156,-6.081,1.0,0.137,140.04,0.353,2019-10-04
Callejeros,Creo,spotify:track:5Bi9Cq5oVFy1OtUgecbegZ,159.0,0.00169,0.382,0.912,7.88e-06,2.0,0.233,-2.898,1.0,0.0551,187.941,0.56,2006-03-21
Pappo,Juntos a la Par,spotify:track:1Ig4pCPanhzXl7C86MmBUc,159.0,0.556,0.476,0.456,0.0,7.0,0.104,-7.41,1.0,0.0316,84.052,0.46,2003-10-23
Ciro y los Persas,Mírenla,spotify:track:0WuKq2LiraBFney78dzwoc,158.0,0.0253,0.632,0.717,0.000661,2.0,0.191,-6.924,1.0,0.0272,161.011,0.832,2012-11-19
Los Abuelos De La Nada,Mil Horas,spotify:track:7JEnT0uFWcwZqNZWv7hC9N,156.0,0.238,0.605,0.349,0.0,3.0,0.0753,-13.719,1.0,0.096,99.362,0.6,1999
La Delio Valdez,Inocente,spotify:track:1DFDbSWdESvzWHHAe6BCQ3,151.0,0.391,0.606,0.704,0.0,10.0,0.109,-3.203,0.0,0.0285,91.478,0.666,2018-06-08
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,144.0,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
"Duki, KHEA",She Don't Give a Fo,spotify:track:03a359wbiUsjN9h6yzXvmS,143.0,0.345,0.854,0.556,0.0,1.0,0.165,-4.49,1.0,0.14,119.938,0.342,2018-03-12
