Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
"Pineapple StormTv, MC Cabelinho, Bob do Contra, Azzy, Filipe Ret, Dudu, Xamã, Orochi, Maquiny, Salve Malak",Poesia Acústica #6: Era uma Vez,spotify:track:13Rf6RaZT13TW4xLQR3MQr,220.0,0.427,0.518,0.575,0.0,5.0,0.153,-10.454,0.0,0.0524,93.885,0.577,2018-12-24
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,162.0,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,162.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,152.0,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
"Grupo Menos É Mais, Di Propósito, Vou Zuar",Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,spotify:track:5r9CZJMoMmxio2AnJdxuDS,148.0,0.603,0.437,0.798,0.0,2.0,0.552,-3.928,1.0,0.0792,157.828,0.706,2020-04-23
Melim,Meu Abrigo,spotify:track:5U28PY9MekLyCBYtLHGQpe,141.0,0.214,0.658,0.572,0.0,3.0,0.125,-7.527,1.0,0.0304,92.011,0.741,2018-06-08
"Lagum, Ana Gabriela",Deixa (feat. Ana Gabriela),spotify:track:3fLqmaO4vvZpFZSZy52VMp,137.0,0.822,0.554,0.326,0.0,0.0,0.193,-8.223,1.0,0.0599,81.998,0.331,2018-02-23
Melim,Ouvi Dizer,spotify:track:1qCLx3nX25NuhfPjM5E1qV,119.0,0.0745,0.641,0.614,0.0,7.0,0.093,-7.847,1.0,0.0532,81.011,0.727,2018-06-08
Imagine Dragons,Believer,spotify:track:0pqnGHJpmpxLKifKRmU6WP,114.0,0.0622,0.776,0.78,0.0,10.0,0.081,-4.374,0.0,0.128,124.949,0.666,2017-06-23
"Nando Reis, Ana Cañas",Pra Você Guardei O Amor,spotify:track:1EQ8sBQ7Abv9DvNBzhXAcv,113.0,0.837,0.485,0.386,0.0,2.0,0.207,-9.189,1.0,0.0388,91.615,0.354,2009-01-01
