Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Santaferia,Algún Día Volverás,spotify:track:5Py45FF8phNy49BaehU3PC,238.0,0.372,0.646,0.712,9.07e-05,7.0,0.0501,-3.765,1.0,0.0312,93.993,0.687,2018-08-29
Danny Ocean,Me Rehúso,spotify:track:6ifUES3keWjwXgae8pXI3o,216.0,0.0231,0.744,0.804,0.0,1.0,0.0494,-6.327,1.0,0.0677,104.823,0.426,2019-03-22
"J Balvin, Bad Bunny",LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,212.0,0.152,0.754,0.646,1.85e-05,7.0,0.108,-5.795,1.0,0.317,176.089,0.429,2019-06-28
Santaferia,EL Gil De Tu Ex,spotify:track:5hMadRUTp4S3ewaJIaI7Qo,211.0,0.486,0.773,0.771,1.25e-06,7.0,0.311,-3.077,1.0,0.0423,91.993,0.871,2017-09-08
Bad Bunny,Si Estuviésemos Juntos,spotify:track:35wvL50xvKpCHEJPxLOLPI,206.0,0.0626,0.672,0.594,5.14e-05,1.0,0.152,-6.813,0.0,0.0789,171.854,0.158,2018-12-23
The Police,Every Breath You Take,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,196.0,0.543,0.82,0.452,0.00294,1.0,0.0714,-9.796,1.0,0.0348,117.401,0.74,1983-06-17
"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,spotify:track:57Ba26w9eoXx8BBUNgRNLV,185.0,0.149,0.656,0.665,8.33e-06,1.0,0.16,-1.387,1.0,0.189,189.984,0.569,2020-04-20
"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,spotify:track:2beS6dD5rovBxSA1zYoSHR,184.0,0.14,0.804,0.787,0.0,10.0,0.0927,-3.824,0.0,0.0746,91.974,0.562,2019-05-24
"Bad Bunny, Tainy",Callaita,spotify:track:71wFwRo8xGc4lrcyKwsvba,182.0,0.597,0.608,0.626,2.16e-06,2.0,0.25,-4.773,1.0,0.301,176.086,0.246,2022-05-06
"Bad Bunny, Daddy Yankee",La Santa,spotify:track:69vlMrzHwATKzupwNcUPyK,174.0,0.0326,0.744,0.868,0.0,1.0,0.0822,-4.524,1.0,0.047,93.037,0.586,2020-02-29
Dua Lipa,Don't Start Now,spotify:track:3PfIrDoz19wz7qK7tYeu62,171.0,0.0123,0.793,0.793,0.0,11.0,0.0951,-4.521,0.0,0.083,123.95,0.679,2020-03-27
Bad Bunny,La Difícil,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,158.0,0.0861,0.685,0.848,7.14e-06,8.0,0.0783,-4.561,0.0,0.0858,179.87,0.761,2020-02-29
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,155.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
Bad Bunny,A Tu Merced,spotify:track:4r9jkMEnArtWGH2rL2FZl0,152.0,0.169,0.86,0.791,0.000106,0.0,0.106,-4.784,1.0,0.0568,92.023,0.887,2020-02-29
Don Omar,Dile,spotify:track:69Ej1xrGjOcHvIMtMKxK0G,150.0,0.184,0.817,0.714,0.000132,4.0,0.042,-7.501,0.0,0.141,94.001,0.714,2003-01-01
Bad Bunny,Vete,spotify:track:2n7ohqg1s68ToAHh4u9mcW,145.0,0.0363,0.886,0.672,8.78e-06,1.0,0.101,-4.394,1.0,0.188,91.976,0.526,2020-02-29
"Ceaese, Utopiko, Polimá Westcoast, Young Cister",Te Quiero Ver (feat. Polimá Westcoast y Young Cister),spotify:track:4YQieyZIxrHaDiAPQosmoP,143.0,0.411,0.769,0.839,0.0,7.0,0.324,-3.765,0.0,0.0607,90.019,0.547,2018-08-16
"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,141.0,0.269,0.845,0.677,0.000917,11.0,0.108,-4.798,0.0,0.136,90.013,0.68,2020-06-12
"Bad Bunny, Mora",Una Vez,spotify:track:5J7teKIJGtqVypgYI6sqXj,141.0,0.132,0.55,0.598,2.58e-06,11.0,0.0955,-5.402,0.0,0.0831,83.836,0.543,2020-02-29
"Aventura, Don Omar",Ella Y Yo - Featuring Don Omar,spotify:track:6G4U9avyBNEfP0fAIduev3,140.0,0.534,0.732,0.708,0.0,9.0,0.237,-7.905,0.0,0.262,175.924,0.717,2005-04-26
"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,129.0,0.0946,0.807,0.606,0.0,3.0,0.119,-8.871,0.0,0.088,92.988,0.304,2020-05-09
Harry Styles,Watermelon Sugar,spotify:track:6UelLqGlWMcVH1E5c4H7lY,128.0,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,0.557,2019-12-13
"TINI, Maria Becerra",Miénteme,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,125.0,0.161,0.85,0.546,6.13e-06,2.0,0.296,-4.534,1.0,0.0654,92.002,0.906,2023-02-16
"Anuel AA, Haze",Amanece,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,125.0,0.437,0.79,0.631,0.0,8.0,0.158,-5.549,0.0,0.0425,94.039,0.889,2018-12-14
"KAROL G, Nicki Minaj",Tusa,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,123.0,0.309,0.799,0.701,7.36e-05,2.0,0.0514,-3.272,1.0,0.282,100.946,0.607,2021-03-26
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,spotify:track:56f5qnyAlZdlz8wrUDA50h,122.0,0.118,0.719,0.753,4.21e-06,7.0,0.212,-4.891,1.0,0.179,174.107,0.675,2019-05-03
Queen,Bohemian Rhapsody - Remastered 2011,spotify:track:4u7EnebtmKWzUH433cf5Qv,121.0,0.271,0.414,0.404,0.0,0.0,0.3,-9.928,0.0,0.0499,71.105,0.224,1975-11-21
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,121.0,0.401,0.731,0.573,5.22e-05,4.0,0.113,-10.059,0.0,0.0544,109.928,0.145,2020-11-27
Bad Bunny,Si Veo a Tu Mamá,spotify:track:41wtwzCZkXwpnakmwJ239F,119.0,0.402,0.9,0.603,4.81e-06,2.0,0.134,-5.313,1.0,0.0646,129.928,0.824,2020-02-29
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,spotify:track:17I27VXKtqXJHL6ReaG0eS,117.0,0.473,0.655,0.673,0.0,0.0,0.0753,-5.98,0.0,0.308,181.891,0.342,2022-02-09
"Piso 21, Micro TDH",Te Vi,spotify:track:059bcIhyc2SBwm6sw2AZzd,113.0,0.0446,0.877,0.777,3.46e-05,1.0,0.0863,-4.246,1.0,0.117,102.02,0.706,2018-12-14
"Pedro Capó, Farruko",Calma - Remix,spotify:track:4U0JLGFHJpEnDS5w8F7ngE,112.0,0.337,0.826,0.764,0.0,11.0,0.161,-4.341,0.0,0.0522,126.9,0.761,2020-09-18
"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,111.0,0.0103,0.607,0.829,0.0,2.0,0.107,-4.074,1.0,0.379,96.172,0.685,2020-02-29
"Bad Bunny, Sech",Ignorantes,spotify:track:38RIEav39FGi86jppxO0du,109.0,0.267,0.85,0.536,3.89e-05,1.0,0.0996,-5.161,1.0,0.0599,96.029,0.505,2020-02-29
Bad Bunny,Yonaguni,spotify:track:2JPLbjOn0wPCngEot2STUS,108.0,0.276,0.644,0.648,0.0,1.0,0.135,-4.601,1.0,0.118,179.951,0.44,2021-06-04
"Anuel AA, Bad Bunny",Hasta Que Dios Diga,spotify:track:06s3QtMJVXw1AJX3UfvZG1,103.0,0.464,0.691,0.765,3.29e-06,8.0,0.203,-4.727,1.0,0.111,174.021,0.855,2020-05-29
"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,102.0,0.0846,0.786,0.808,0.000289,7.0,0.0822,-3.702,1.0,0.0881,105.029,0.608,2020-05-29
