Artist,TrackName,TrackId,TimesRepeated,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,release_date
Danny Ocean,Me Rehúso,spotify:track:6ifUES3keWjwXgae8pXI3o,260.0,0.0231,0.744,0.804,0.0,1.0,0.0494,-6.327,1.0,0.0677,104.823,0.426,2019-03-22
Bacilos,Caraluna,spotify:track:7DhYjNLksXZhbRQeheAums,260.0,0.176,0.76,0.773,0.0,9.0,0.1,-5.314,1.0,0.0675,102.789,0.895,2002-06-25
Los Enanitos Verdes,Lamento Boliviano,spotify:track:6Pur3hWy6Nzc27ilmsp5HA,256.0,0.176,0.714,0.735,0.000622,4.0,0.115,-7.125,0.0,0.0306,123.57,0.68,1994-01-01
"Piso 21, Micro TDH",Te Vi,spotify:track:059bcIhyc2SBwm6sw2AZzd,251.0,0.0446,0.877,0.777,3.46e-05,1.0,0.0863,-4.246,1.0,0.117,102.02,0.706,2018-12-14
"Jhayco, J Balvin, Bad Bunny",No Me Conoce - Remix,spotify:track:2beS6dD5rovBxSA1zYoSHR,229.0,0.14,0.804,0.787,0.0,10.0,0.0927,-3.824,0.0,0.0746,91.974,0.562,2019-05-24
"J Balvin, Bad Bunny",LA CANCIÓN,spotify:track:0fea68AdmYNygeTGI4RC18,223.0,0.152,0.754,0.646,1.85e-05,7.0,0.108,-5.795,1.0,0.317,176.089,0.429,2019-06-28
Hombres G,Devuélveme a mi chica,spotify:track:1Wrzhfa5bNlqvsnCztz190,218.0,0.0031,0.603,0.843,0.0337,9.0,0.445,-7.597,0.0,0.0557,172.676,0.503,1985
"Carlos Baute, Marta Sánchez",Colgando en tus manos (con Marta Sánchez),spotify:track:3UI9I3e1g1y5T3SMfdgfGO,217.0,0.535,0.836,0.637,0.0,6.0,0.129,-4.803,1.0,0.0367,120.025,0.875,2009
Paulo Londra,Tal Vez,spotify:track:5jW3rF4URMdK7tO2xjS5EI,216.0,0.25,0.855,0.649,0.0,8.0,0.0801,-2.443,1.0,0.151,161.986,0.741,2019-05-23
"ChiChi Peralta, Jandy Feliz",Procura,spotify:track:2q9udNV9NK0BL3q9p6TLxf,216.0,0.279,0.805,0.757,0.000839,8.0,0.101,-7.46,1.0,0.0355,102.14,0.973,1997-07-01
"Paulo Londra, Lenny Tavárez",Nena Maldición (feat. Lenny Tavárez),spotify:track:77dMSg2VHi2wwXjXNrmcrZ,202.0,0.192,0.566,0.531,0.0,6.0,0.179,-6.635,1.0,0.0716,118.96,0.367,2019-05-23
Bad Bunny,Si Estuviésemos Juntos,spotify:track:35wvL50xvKpCHEJPxLOLPI,202.0,0.0626,0.672,0.594,5.14e-05,1.0,0.152,-6.813,0.0,0.0789,171.854,0.158,2018-12-23
"Bad Bunny, Tainy",Callaita,spotify:track:71wFwRo8xGc4lrcyKwsvba,200.0,0.597,0.608,0.626,2.16e-06,2.0,0.25,-4.773,1.0,0.301,176.086,0.246,2022-05-06
Paulo Londra,Adan y Eva,spotify:track:132ALUzVLmqYB4UsBj5qD6,193.0,0.323,0.767,0.709,0.0,1.0,0.0745,-4.47,1.0,0.336,171.993,0.72,2019-05-23
"Mike Bahía, Greeicy",Esta Noche,spotify:track:4vhkI8x68EaGQR3Kn7Pwhc,191.0,0.013,0.727,0.848,0.0,5.0,0.102,-5.727,1.0,0.0584,130.007,0.792,2019-11-15
"Bad Bunny, Daddy Yankee",La Santa,spotify:track:69vlMrzHwATKzupwNcUPyK,188.0,0.0326,0.744,0.868,0.0,1.0,0.0822,-4.524,1.0,0.047,93.037,0.586,2020-02-29
Morat,Cuando Nadie Ve,spotify:track:71iAechwVKGu26pahzFL0k,185.0,0.133,0.806,0.778,0.0,1.0,0.218,-4.577,0.0,0.0616,95.993,0.84,2018-10-25
"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,172.0,0.269,0.845,0.677,0.000917,11.0,0.108,-4.798,0.0,0.136,90.013,0.68,2020-06-12
Bad Bunny,Vete,spotify:track:2n7ohqg1s68ToAHh4u9mcW,168.0,0.0363,0.886,0.672,8.78e-06,1.0,0.101,-4.394,1.0,0.188,91.976,0.526,2020-02-29
"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,spotify:track:17I27VXKtqXJHL6ReaG0eS,165.0,0.473,0.655,0.673,0.0,0.0,0.0753,-5.98,0.0,0.308,181.891,0.342,2022-02-09
"J Balvin, Bad Bunny",QUE PRETENDES,spotify:track:25ZAibhr3bdlMCLmubZDVt,165.0,0.0275,0.639,0.791,0.0,10.0,0.362,-4.443,0.0,0.253,92.603,0.939,2019-06-28
"Morat, Juanes",Besos En Guerra,spotify:track:1mlGScrDQqHqmhdIqE8MmA,162.0,0.126,0.69,0.973,0.0,2.0,0.101,-3.588,1.0,0.0492,143.957,0.772,2018-10-25
Rels B,A Mí,spotify:track:7MmrcXVA7A5zZ2CbDuGHNa,161.0,0.241,0.846,0.548,0.0713,1.0,0.0419,-6.397,1.0,0.256,94.925,0.516,2019-02-21
Bad Bunny,Si Veo a Tu Mamá,spotify:track:41wtwzCZkXwpnakmwJ239F,159.0,0.402,0.9,0.603,4.81e-06,2.0,0.134,-5.313,1.0,0.0646,129.928,0.824,2020-02-29
Andrés Calamaro,Flaca,spotify:track:1p7m9H4H8s0Y7SgRm7j3ED,151.0,0.21,0.739,0.745,0.0135,7.0,0.127,-6.658,1.0,0.0267,109.326,0.949,1997
"Super Yei, Jone Quest, Sammy, Myke Towers, Lenny Tavárez, Rafa Pabön",La Forma en Que Me Miras,spotify:track:57Ba26w9eoXx8BBUNgRNLV,149.0,0.149,0.656,0.665,8.33e-06,1.0,0.16,-1.387,1.0,0.189,189.984,0.569,2020-04-20
Maluma,Hawái,spotify:track:1yoMvmasuxZfqHEipJhRbp,149.0,0.185,0.783,0.727,2.46e-05,6.0,0.0626,-3.454,0.0,0.389,180.067,0.558,2020-08-21
"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,spotify:track:56f5qnyAlZdlz8wrUDA50h,149.0,0.118,0.719,0.753,4.21e-06,7.0,0.212,-4.891,1.0,0.179,174.107,0.675,2019-05-03
"Greeicy, Mike Bahía",Amantes,spotify:track:3IyPnNX142pvWx6D5CiimD,147.0,0.14,0.8,0.681,0.0,2.0,0.0831,-4.076,1.0,0.0912,92.027,0.637,2017-11-03
"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),spotify:track:4t9a07PAghtQMRAIP9FQ7Z,145.0,0.361,0.795,0.783,0.0,5.0,0.437,-4.271,1.0,0.0432,92.01,0.799,2019-10-25
Bad Bunny,A Tu Merced,spotify:track:4r9jkMEnArtWGH2rL2FZl0,144.0,0.169,0.86,0.791,0.000106,0.0,0.106,-4.784,1.0,0.0568,92.023,0.887,2020-02-29
Grupo 5,Motor Y Motivo,spotify:track:2yjHvbMtfyoXXJYpsR3rYP,144.0,0.167,0.739,0.887,0.0,0.0,0.225,-5.084,1.0,0.0317,98.011,0.873,2005-01-31
The Weeknd,Blinding Lights,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,143.0,0.00146,0.514,0.73,9.54e-05,1.0,0.0897,-5.934,1.0,0.0598,171.005,0.334,2020-03-20
"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,142.0,0.0846,0.786,0.808,0.000289,7.0,0.0822,-3.702,1.0,0.0881,105.029,0.608,2020-05-29
Adolescent's Orquesta,Virgen,spotify:track:1HWbpfmzt1YplLceHgirCv,142.0,0.727,0.66,0.756,0.000323,8.0,0.115,-4.903,1.0,0.0443,90.839,0.768,2008-06-25
"KAROL G, Nicki Minaj",Tusa,spotify:track:0dKg2vGC1hFqcK5LGTaKzX,138.0,0.309,0.799,0.701,7.36e-05,2.0,0.0514,-3.272,1.0,0.282,100.946,0.607,2021-03-26
"Bad Bunny, Jhayco",DÁKITI,spotify:track:4MzXwWMhyBbmu6hOcLVD49,138.0,0.401,0.731,0.573,5.22e-05,4.0,0.113,-10.059,0.0,0.0544,109.928,0.145,2020-11-27
"Piso 21, Paulo Londra",Te Amo,spotify:track:2RVrdr062uLFxXwIxwdXPH,138.0,0.0204,0.849,0.724,5.98e-06,5.0,0.235,-4.139,1.0,0.0665,98.005,0.63,2018-03-15
"Greeicy, Nacho",Destino,spotify:track:041Kcvnw8nOdq8xiRibPTG,137.0,0.0135,0.701,0.767,7.29e-06,0.0,0.0612,-3.055,1.0,0.0746,188.085,0.695,2019-05-17
Bad Bunny,La Difícil,spotify:track:6NfrH0ANGmgBXyxgV2PeXt,137.0,0.0861,0.685,0.848,7.14e-06,8.0,0.0783,-4.561,0.0,0.0858,179.87,0.761,2020-02-29
Agua Marina,Tu Amor Fue una Mentira,spotify:track:6BnqTZLQNh3bLSuGOHqLoa,136.0,0.346,0.761,0.517,0.00385,9.0,0.0948,-11.678,1.0,0.0335,101.996,0.926,1997-01-01
"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,spotify:track:7hynhxDoDpgMIV12JuVtNa,136.0,0.125,0.627,0.675,0.0,5.0,0.0784,-7.125,0.0,0.213,79.31,0.961,2019-06-28
"Jhayco, Bad Bunny",CÓMO SE SIENTE - Remix,spotify:track:2tFwfmceQa1Y6nRPhYbEtC,134.0,0.0946,0.807,0.606,0.0,3.0,0.119,-8.871,0.0,0.088,92.988,0.304,2020-05-09
"KAROL G, Anuel AA",Culpables,spotify:track:4RGKft6YTTWHjpQeRIInuS,132.0,0.287,0.728,0.812,2.9e-06,8.0,0.13,-3.017,0.0,0.0833,130.029,0.418,2019-05-03
"Sebastian Yatra, Myke Towers",Pareja Del Año,spotify:track:655JkvIwu2rDCaD1hPf04g,129.0,0.176,0.715,0.611,0.0,4.0,0.0949,-5.094,0.0,0.0519,79.971,0.776,2022-01-28
"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,spotify:track:2DEZmgHKAvm41k4J3R2E9Y,127.0,0.0103,0.607,0.829,0.0,2.0,0.107,-4.074,1.0,0.379,96.172,0.685,2020-02-29
"TINI, Maria Becerra",Miénteme,spotify:track:6ebo7CQn4ILLGvXRmXHhQz,127.0,0.161,0.85,0.546,6.13e-06,2.0,0.296,-4.534,1.0,0.0654,92.002,0.906,2023-02-16
Fonseca,Te Mando Flores,spotify:track:2in1gSZtv2lRbcZUmN9aAl,127.0,0.228,0.714,0.85,0.0,0.0,0.108,-7.864,1.0,0.0541,102.009,0.855,2005-05-01
